rank,score,full_name,title,email,phone,linkedin,company,company_website,company_industry,company_employees,location,disc_type,disc_profile,subject_line,email_opening,outreach_approach,ai_hook,avoid,source
24,82,,Director of Technology,info@mydental.org,(175) 510-0070,https://www.linkedin.com/company/my-community-dental-centers/,My Community Dental Centers,www.mydental.org,Dental (DSO),500,"Farwell, MI",I,"Enthusiastic, relationship-oriented, big-picture",The AI vision for My Community Dental Centers's next chapter,"Hi there, I love what you're building at My Community Dental Centers! We build AI assistants that handle appointment scheduling, insurance verification, and patient reminders automatically. I'd love to explore what's possible together.","Be enthusiastic, paint the vision, use social proof","We build AI assistants that handle appointment scheduling, insurance verification, and patient reminders automatically",Don't lead with data dumps or technical specs,1000_database
25,82,,CTO,info@epwealth.com,(058) 050-8650,https://www.linkedin.com/company/ep-wealth-advisors,EP Wealth Advisors,www.epwealth.com,Financial Advisory / Wealth Management,500,"Torrance, CA",C,"Analytical, detail-oriented, process-driven",AI automation ROI analysis for EP Wealth Advisors,"Hi there, Based on our analysis of companies like EP Wealth Advisors, we've found that we build ai that automates client onboarding, compliance reporting, and portfolio summaries — freeing advisors for high-value work. Here are the specifics:","Lead with data, specifics, and logical arguments","We build AI that automates client onboarding, compliance reporting, and portfolio summaries — freeing advisors for high-value work",Don't make vague claims without backing them up,1000_database
26,82,,Director of Technology,info@savantwealth.com,(613) 974-6388,https://www.linkedin.com/company/savant-wealth-management/,Savant Wealth Management,www.savantwealth.com,Financial Advisory / Wealth Management,300,"Rockford, IL",C,"Analytical, detail-oriented, process-driven",AI automation ROI analysis for Savant Wealth Management,"Hi there, Based on our analysis of companies like Savant Wealth Management, we've found that we build ai that automates client onboarding, compliance reporting, and portfolio summaries — freeing advisors for high-value work. Here are the specifics:","Lead with data, specifics, and logical arguments","We build AI that automates client onboarding, compliance reporting, and portfolio summaries — freeing advisors for high-value work",Don't make vague claims without backing them up,1000_database
27,82,,Director of IT,info@beaconpointe.com,(949) 718-1600,https://www.linkedin.com/company/beacon-pointe-ria,Beacon Pointe Advisors,www.beaconpointe.com,Financial Advisory / Wealth Management,300,"Newport Beach, CA",C,"Analytical, detail-oriented, process-driven",AI automation ROI analysis for Beacon Pointe Advisors,"Hi there, Based on our analysis of companies like Beacon Pointe Advisors, we've found that we build ai that automates client onboarding, compliance reporting, and portfolio summaries — freeing advisors for high-value work. Here are the specifics:","Lead with data, specifics, and logical arguments","We build AI that automates client onboarding, compliance reporting, and portfolio summaries — freeing advisors for high-value work",Don't make vague claims without backing them up,1000_database
28,80,,Managing Partner,info@corboydemetrio.com,(177) 214-4773,https://www.linkedin.com/company/670612/,Corboy & Demetrio,www.corboydemetrio.com,Legal / Law Firms,50,"Chicago, IL",C,"Analytical, detail-oriented, process-driven",AI automation ROI analysis for Corboy & Demetrio,"Hi there, Based on our analysis of companies like Corboy & Demetrio, we've found that we build ai that automates document review, client intake, and contract analysis — cutting paralegal costs by 40%. Here are the specifics:","Lead with data, specifics, and logical arguments","We build AI that automates document review, client intake, and contract analysis — cutting paralegal costs by 40%",Don't make vague claims without backing them up,1000_database
29,80,,Managing Partner,info@levinperconti.com,(214) 748-3630,https://www.linkedin.com/company/levin-,Levin & Perconti,www.levinperconti.com,Legal / Law Firms,25,"Chicago, IL",C,"Analytical, detail-oriented, process-driven",AI automation ROI analysis for Levin & Perconti,"Hi there, Based on our analysis of companies like Levin & Perconti, we've found that we build ai that automates document review, client intake, and contract analysis — cutting paralegal costs by 40%. Here are the specifics:","Lead with data, specifics, and logical arguments","We build AI that automates document review, client intake, and contract analysis — cutting paralegal costs by 40%",Don't make vague claims without backing them up,1000_database
30,80,,Director of IT,info@gpwlaw.com,(174) 595-3746,,Goldberg Persky & White,www.gpwlaw.com,Legal / Law Firms,80,"Pittsburgh, PA",C,"Analytical, detail-oriented, process-driven",AI automation ROI analysis for Goldberg Persky & White,"Hi there, Based on our analysis of companies like Goldberg Persky & White, we've found that we build ai that automates document review, client intake, and contract analysis — cutting paralegal costs by 40%. Here are the specifics:","Lead with data, specifics, and logical arguments","We build AI that automates document review, client intake, and contract analysis — cutting paralegal costs by 40%",Don't make vague claims without backing them up,1000_database
31,80,,CTO,info@statsig.com,(225) 178-9325,https://linkedin.com/company/statsig,Statsig,www.statsig.com,SaaS / Software Companies,200,"Bellevue, WA",C,"Analytical, detail-oriented, process-driven",AI automation ROI analysis for Statsig,"Hi there, Based on our analysis of companies like Statsig, we've found that we build ai that automates customer onboarding, support ticket routing, and churn prediction. Here are the specifics:","Lead with data, specifics, and logical arguments","We build AI that automates customer onboarding, support ticket routing, and churn prediction",Don't make vague claims without backing them up,1000_database
32,80,,CTO,help@skillshare.com,(064) 763-3531,https://www.linkedin.com/company/skillshare-com/,Skillshare,www.skillshare.com,Education / EdTech,200,"New York, NY",C,"Analytical, detail-oriented, process-driven",AI automation ROI analysis for Skillshare,"Hi there, Based on our analysis of companies like Skillshare, we've found that we build ai tutors, automated grading systems, and personalized learning platforms. Here are the specifics:","Lead with data, specifics, and logical arguments","We build AI tutors, automated grading systems, and personalized learning platforms",Don't make vague claims without backing them up,1000_database
33,80,,VP of Technology,info@homrichberg.com,(404) 264-1400,https://www.linkedin.com/company/hbwealth/,Homrich Berg,www.homrichberg.com,Financial Advisory / Wealth Management,200,"Atlanta, GA",C,"Analytical, detail-oriented, process-driven",AI automation ROI analysis for Homrich Berg,"Hi there, Based on our analysis of companies like Homrich Berg, we've found that we build ai that automates client onboarding, compliance reporting, and portfolio summaries — freeing advisors for high-value work. Here are the specifics:","Lead with data, specifics, and logical arguments","We build AI that automates client onboarding, compliance reporting, and portfolio summaries — freeing advisors for high-value work",Don't make vague claims without backing them up,1000_database
34,80,,CTO,info@dynastyfinancialpartners.com,(177) 240-3879,,Dynasty Financial Partners,www.dynastyfinancialpartners.com,Financial Advisory / Wealth Management,200,"New York, NY",C,"Analytical, detail-oriented, process-driven",AI automation ROI analysis for Dynasty Financial Partners,"Hi there, Based on our analysis of companies like Dynasty Financial Partners, we've found that we build ai that automates client onboarding, compliance reporting, and portfolio summaries — freeing advisors for high-value work. Here are the specifics:","Lead with data, specifics, and logical arguments","We build AI that automates client onboarding, compliance reporting, and portfolio summaries — freeing advisors for high-value work",Don't make vague claims without backing them up,1000_database
35,80,,VP of Technology,info@perigonwealth.com,(199) 999-9999,https://www.linkedin.com/company/perigonwealth/,Perigon Wealth,www.perigonwealth.com,Financial Advisory / Wealth Management,100,"San Francisco, CA",C,"Analytical, detail-oriented, process-driven",AI automation ROI analysis for Perigon Wealth,"Hi there, Based on our analysis of companies like Perigon Wealth, we've found that we build ai that automates client onboarding, compliance reporting, and portfolio summaries — freeing advisors for high-value work. Here are the specifics:","Lead with data, specifics, and logical arguments","We build AI that automates client onboarding, compliance reporting, and portfolio summaries — freeing advisors for high-value work",Don't make vague claims without backing them up,1000_database
36,80,,Director of Operations,info@ghpia.com,(303) 831-5051,https://www.linkedin.com/company/ghp-investment-advisors-inc-/,GHPIA,www.ghpia.com,Financial Advisory / Wealth Management,50,"Greenwich, CT",S,"Steady, supportive, team-oriented",Supporting GHPIA's team with AI automation,"Hi there, I noticed your team has been doing incredible work at GHPIA. We build AI that automates client onboarding, compliance reporting, and portfolio summaries — freeing advisors for high-value work. We'd be happy to show you exactly how it works — no pressure.","Be warm, show you care about their team, offer support","We build AI that automates client onboarding, compliance reporting, and portfolio summaries — freeing advisors for high-value work",Don't pressure or use urgency tactics,1000_database
37,80,,Director of Technology,info@bleakley.com,(897) 192-6532,https://www.linkedin.com/company/onepoint-bfg-wealth-partners,Bleakley Financial Group,www.bleakley.com,Financial Advisory / Wealth Management,50,"Fairfield, NJ",C,"Analytical, detail-oriented, process-driven",AI automation ROI analysis for Bleakley Financial Group,"Hi there, Based on our analysis of companies like Bleakley Financial Group, we've found that we build ai that automates client onboarding, compliance reporting, and portfolio summaries — freeing advisors for high-value work. Here are the specifics:","Lead with data, specifics, and logical arguments","We build AI that automates client onboarding, compliance reporting, and portfolio summaries — freeing advisors for high-value work",Don't make vague claims without backing them up,1000_database
38,80,,VP of Technology,crystal.mathis@signaturefd.com,(177) 240-3445,https://www.linkedin.com/company/signaturefd/,SignatureFD,www.signaturefd.com,Financial Advisory / Wealth Management,100,"Atlanta, GA",C,"Analytical, detail-oriented, process-driven",AI automation ROI analysis for SignatureFD,"Hi there, Based on our analysis of companies like SignatureFD, we've found that we build ai that automates client onboarding, compliance reporting, and portfolio summaries — freeing advisors for high-value work. Here are the specifics:","Lead with data, specifics, and logical arguments","We build AI that automates client onboarding, compliance reporting, and portfolio summaries — freeing advisors for high-value work",Don't make vague claims without backing them up,1000_database
39,80,,CTO,info@crestwoodadvisors.com,(176) 946-2611,,Crestwood Advisors,www.crestwoodadvisors.com,Financial Advisory / Wealth Management,80,"Boston, MA",C,"Analytical, detail-oriented, process-driven",AI automation ROI analysis for Crestwood Advisors,"Hi there, Based on our analysis of companies like Crestwood Advisors, we've found that we build ai that automates client onboarding, compliance reporting, and portfolio summaries — freeing advisors for high-value work. Here are the specifics:","Lead with data, specifics, and logical arguments","We build AI that automates client onboarding, compliance reporting, and portfolio summaries — freeing advisors for high-value work",Don't make vague claims without backing them up,1000_database
40,79,,Director of IT,contactsd@schneiderdowns.com,(412) 261-3644,https://www.linkedin.com/company/schneider-downs/,Schneider Downs,www.schneiderdowns.com,Accounting / CPA Firms,500,"Pittsburgh, PA",C,"Analytical, detail-oriented, process-driven",AI automation ROI analysis for Schneider Downs,"Hi there, Based on our analysis of companies like Schneider Downs, we've found that we build ai that automates bookkeeping, tax prep, and financial reporting — 5x faster. Here are the specifics:","Lead with data, specifics, and logical arguments","We build AI that automates bookkeeping, tax prep, and financial reporting — 5x faster",Don't make vague claims without backing them up,1000_database
41,79,,Director of IT,info@freedmaxick.com,(289) 109-6669,https://www.linkedin.com/company/freed-maxick,Freed Maxick,www.freedmaxick.com,Accounting / CPA Firms,300,"Buffalo, NY",C,"Analytical, detail-oriented, process-driven",AI automation ROI analysis for Freed Maxick,"Hi there, Based on our analysis of companies like Freed Maxick, we've found that we build ai that automates bookkeeping, tax prep, and financial reporting — 5x faster. Here are the specifics:","Lead with data, specifics, and logical arguments","We build AI that automates bookkeeping, tax prep, and financial reporting — 5x faster",Don't make vague claims without backing them up,1000_database
42,79,,CTO,info@kaufmanrossin.com,(888) 680-5726,https://www.linkedin.com/company/kaufman-rossin-,Kaufman Rossin,www.kaufmanrossin.com,Accounting / CPA Firms,500,"Miami, FL",C,"Analytical, detail-oriented, process-driven",AI automation ROI analysis for Kaufman Rossin,"Hi there, Based on our analysis of companies like Kaufman Rossin, we've found that we build ai that automates bookkeeping, tax prep, and financial reporting — 5x faster. Here are the specifics:","Lead with data, specifics, and logical arguments","We build AI that automates bookkeeping, tax prep, and financial reporting — 5x faster",Don't make vague claims without backing them up,1000_database
43,79,,Director of Technology,daniel.parchment@anchin.com,(176) 438-9035,https://www.linkedin.com/company/anchin-block-,Anchin,www.anchin.com,Accounting / CPA Firms,350,"New York, NY",C,"Analytical, detail-oriented, process-driven",AI automation ROI analysis for Anchin,"Hi there, Based on our analysis of companies like Anchin, we've found that we build ai that automates bookkeeping, tax prep, and financial reporting — 5x faster. Here are the specifics:","Lead with data, specifics, and logical arguments","We build AI that automates bookkeeping, tax prep, and financial reporting — 5x faster",Don't make vague claims without backing them up,1000_database
44,79,,Director of IT,info@lutz.us,(141) 938-3928,https://www.linkedin.com/company/lutz-/,Lutz,www.lutz.us,Accounting / CPA Firms,350,"Omaha, NE",C,"Analytical, detail-oriented, process-driven",AI automation ROI analysis for Lutz,"Hi there, Based on our analysis of companies like Lutz, we've found that we build ai that automates bookkeeping, tax prep, and financial reporting — 5x faster. Here are the specifics:","Lead with data, specifics, and logical arguments","We build AI that automates bookkeeping, tax prep, and financial reporting — 5x faster",Don't make vague claims without backing them up,1000_database
45,79,,Managing Partner,info@yeoandyeo.com,(177) 221-5098,https://www.linkedin.com/company/yeo-,Yeo & Yeo,www.yeoandyeo.com,Accounting / CPA Firms,300,"Saginaw, MI",C,"Analytical, detail-oriented, process-driven",AI automation ROI analysis for Yeo & Yeo,"Hi there, Based on our analysis of companies like Yeo & Yeo, we've found that we build ai that automates bookkeeping, tax prep, and financial reporting — 5x faster. Here are the specifics:","Lead with data, specifics, and logical arguments","We build AI that automates bookkeeping, tax prep, and financial reporting — 5x faster",Don't make vague claims without backing them up,1000_database
46,79,,Director of Operations,corporate@frtline.com,(214) 760-7700,https://www.linkedin.com/company/frontline-source-group,Frontline Source Group,www.frontlinesourcegroup.com,Staffing / Recruiting Firms,300,"Dallas, TX",S,"Steady, supportive, team-oriented",Supporting Frontline Source Group's team with AI automation,"Hi there, I noticed your team has been doing incredible work at Frontline Source Group. We build AI that screens resumes, matches candidates, and automates outreach — filling roles 50% faster. We'd be happy to show you exactly how it works — no pressure.","Be warm, show you care about their team, offer support","We build AI that screens resumes, matches candidates, and automates outreach — filling roles 50% faster",Don't pressure or use urgency tactics,1000_database
47,79,,Director of Technology,etpayroll@creativecircle.com,(177) 206-3619,https://www.linkedin.com/company/creative-circle/,Creative Circle,www.creativecircle.com,Staffing / Recruiting Firms,500,"Los Angeles, CA",I,"Enthusiastic, relationship-oriented, big-picture",The AI vision for Creative Circle's next chapter,"Hi there, I love what you're building at Creative Circle! We build AI that screens resumes, matches candidates, and automates outreach — filling roles 50% faster. I'd love to explore what's possible together.","Be enthusiastic, paint the vision, use social proof","We build AI that screens resumes, matches candidates, and automates outreach — filling roles 50% faster",Don't lead with data dumps or technical specs,1000_database
48,79,,CTO,sales@npdigital.com,(177) 203-2290,https://www.linkedin.com/company/npdigital/,NP Digital,www.npdigital.com,Marketing / Digital Agencies,500,"San Diego, CA",I,"Enthusiastic, relationship-oriented, big-picture",The AI vision for NP Digital's next chapter,"Hi there, I love what you're building at NP Digital! We build AI that automates reporting, content drafts, and client communications — so your team focuses on strategy. I'd love to explore what's possible together.","Be enthusiastic, paint the vision, use social proof","We build AI that automates reporting, content drafts, and client communications — so your team focuses on strategy",Don't lead with data dumps or technical specs,1000_database
49,79,,Director of Innovation,jason@barkleyokrp.com,(816) 813-3892,https://www.linkedin.com/company/barkleyokrp/,Barkley,www.barkleyus.com,Marketing / Digital Agencies,300,"Kansas City, MO",I,"Enthusiastic, relationship-oriented, big-picture",The AI vision for Barkley's next chapter,"Hi there, I love what you're building at Barkley! We build AI that automates reporting, content drafts, and client communications — so your team focuses on strategy. I'd love to explore what's possible together.","Be enthusiastic, paint the vision, use social proof","We build AI that automates reporting, content drafts, and client communications — so your team focuses on strategy",Don't lead with data dumps or technical specs,1000_database
