company,website,phone,linkedin_company,industry,employees,city,state,country,address,postal_code,category,rating,reviews,founded_year,source
BlackStone eIT,http://www.blackstoneeit.com,,http://www.linkedin.com/company/blackstoneeit,information technology & services,270,Seattle,Washington,United States,,,,,,2014,apollo
How Do I Use AI,,,http://www.linkedin.com/company/how-do-i-use-ai,e-learning,28,Mountain View,California,United States,,,,,,,apollo
Aegistech,http://www.aegistech.com,,http://www.linkedin.com/company/aegistech,staffing & recruiting,57,New York,New York,United States,,,,,,1994,apollo
BCG GAMMA,,,http://www.linkedin.com/company/bcg-gamma,management consulting,140,Boston,Massachusetts,United States,,,,,,2015,apollo
USD Artificial Intelligence (ᗩ𝕀) Research,http://www.ai-research-lab.org,,http://www.linkedin.com/company/kc-ai,research,14,Vermillion,South Dakota,United States,,,,,,2015,apollo
Udacity,http://www.udacity.com,,http://www.linkedin.com/school/udacity,e-learning,430,Mountain View,California,United States,,,,,,2011,apollo
DeLorean Artificial Intelligence,http://www.deloreanai.com,,http://www.linkedin.com/company/delorean-artificial-intelligence,information technology & services,26,Palm Beach,Florida,United States,,,,,,2019,apollo
Innovatix Technology Partners,http://www.innovatixinc.com,,http://www.linkedin.com/company/innovatix-technology-partners,information technology & services,110,Bedminster Township,New Jersey,United States,,,,,,1992,apollo
LangChain,http://www.langchain.com,,http://www.linkedin.com/company/langchain,information technology & services,98,Bayonne,New Jersey,United States,,,,,,,apollo
Artificial Intelligence at UCI,,,http://www.linkedin.com/company/aiatuci,information technology & services,24,Irvine,California,United States,,,,,,2017,apollo
Glocomms,http://www.glocomms.com,,http://www.linkedin.com/company/glocomms,professional training & coaching,92,New York,New York,United States,,,,,,2013,apollo
Hyqoo,http://www.hyqoo.com,,http://www.linkedin.com/company/hyqoocom,information technology & services,170,Bernards,New Jersey,United States,,,,,,2019,apollo
Stanford Center for Artificial Intelligence in Medicine and Imaging (AIMI),,,http://www.linkedin.com/company/stanfordaimi,higher education,51,Palo Alto,California,United States,,,,,,2018,apollo
Project Management Skills,http://www.coursya.com,,http://www.linkedin.com/company/projectmanagementskills,e-learning,120,Sunnyvale,California,United States,,,,,,,apollo
DoD Joint Artificial Intelligence Center,,,http://www.linkedin.com/company/dod-joint-artificial-intelligence-center,defense & space,70,Washington,District of Columbia,United States,,,,,,2019,apollo
Machine Learning Department at CMU,,,http://www.linkedin.com/school/mldcmu,research,140,Pittsburgh,Pennsylvania,United States,,,,,,1997,apollo
Y Combinator,http://www.ycombinator.com,,http://www.linkedin.com/school/y-combinator,venture capital & private equity,68,Mountain View,California,United States,,,,,,2005,apollo
Machine Learning,,,http://www.linkedin.com/company/machine-learn,information technology & services,380,San Francisco,California,United States,,,,,,2020,apollo
Machine Learning Society,http://www.innovation-labs.co,,http://www.linkedin.com/company/machine-learning-society,information technology & services,43,San Diego,California,United States,,,,,,2016,apollo
StartUp Health,http://www.startuphealth.com,,http://www.linkedin.com/company/startuphealth,"health, wellness & fitness",130,New York,New York,United States,,,,,,2011,apollo
Fortune,http://www.fortune.com,,http://www.linkedin.com/company/fortune,publishing,360,New York,New York,United States,,,,,,1930,apollo
Startup Genome,http://www.startupgenome.com,,http://www.linkedin.com/company/startupgenome,public policy,67,San Francisco,California,United States,,,,,,2016,apollo
Startup Leadership Program,http://www.startupleadership.com,,http://www.linkedin.com/company/startupleadership,education management,230,Boston,Massachusetts,United States,,,,,,2006,apollo
Cypress HCM,http://www.cypresshcm.com,,http://www.linkedin.com/company/cypress-hcm,staffing & recruiting,200,Danville,California,United States,,,,,,2005,apollo
Sequoia Capital,http://www.sequoiacap.com,,http://www.linkedin.com/company/sequoia,venture capital & private equity,330,Menlo Park,California,United States,,,,,,1972,apollo
Quest Groups LLC,http://www.questgroups.com,,http://www.linkedin.com/company/quest-groups,staffing & recruiting,120,Palo Alto,California,United States,,,,,,2001,apollo
Draper Startup House,http://www.draperstartuphouse.com,,http://www.linkedin.com/company/draperstartuphouse,venture capital & private equity,43,San Mateo,California,United States,,,,,,2018,apollo
AI Community,http://www.thecommunityai.org,,http://www.linkedin.com/company/google-ai,information technology & services,380,San Francisco,California,United States,,,,,,2017,apollo
"Agile Resources, Inc.",http://www.gotoagile.com,,http://www.linkedin.com/company/agile-resources-inc-,staffing & recruiting,56,Alpharetta,Georgia,United States,,,,,,2003,apollo
Synergy Interactive,http://www.sinyc.com,,http://www.linkedin.com/company/synergy-interactive-solutions,staffing & recruiting,160,New York,New York,United States,,,,,,2008,apollo
Machine Learning at Berkeley,,,http://www.linkedin.com/company/machine-learning-at-berkeley,information technology & services,48,Berkeley,California,United States,,,,,,2015,apollo
Droisys,http://www.droisys.com,,http://www.linkedin.com/company/droisys,information technology & services,450,Fremont,California,United States,,,,,,2003,apollo
Startup School Online,http://www.startupschool.org,,http://www.linkedin.com/school/startup-school-online,e-learning,21,,,United States,,,,,,2017,apollo
Startup San Diego,http://www.startupsd.org,,http://www.linkedin.com/company/startup-san-diego,civic & social organization,20,San Diego,California,United States,,,,,,2014,apollo
VentureDive,http://www.venturedive.com,,http://www.linkedin.com/company/venturedive,information technology & services,320,Mountain View,California,United States,,,,,,2012,apollo
Weekday AI (YC W21),http://www.weekday.works,,http://www.linkedin.com/company/weekdayjobs,information technology & services,35,San Francisco,California,United States,,,,,,2022,apollo
Atlas Search,http://www.atlassearchllc.com,,http://www.linkedin.com/company/atlas-search,staffing & recruiting,210,New York,New York,United States,,,,,,2015,apollo
Engtal,http://www.engtal.com,,http://www.linkedin.com/company/engtal,staffing & recruiting,47,Chicago,Illinois,United States,,,,,,2017,apollo
Bitsol,http://www.bitsol.tech,,http://www.linkedin.com/company/bitsol,information technology & services,80,Dallas,Texas,United States,,,,,,2015,apollo
Highbrow Technology Inc,http://www.highbrowtechnology.com,,http://www.linkedin.com/company/highbrow-technology-inc,information technology & services,310,Cary,North Carolina,United States,,,,,,2011,apollo
Startup Institute,http://www.startupinstitute.com,,http://www.linkedin.com/company/startup-institute,professional training & coaching,27,Boston,Massachusetts,United States,,,,,,2012,apollo
Founder & Co,http://www.foundersandco.com,,http://www.linkedin.com/company/founderandco,information technology & services,78,Palo Alto,California,United States,,,,,,2020,apollo
Recruiting from Scratch,http://www.recruitingfromscratch.com,,http://www.linkedin.com/company/recruiting-from-scratch,staffing & recruiting,64,New York,New York,United States,,,,,,2021,apollo
Startup World Cup,http://www.startupworldcup.io,,http://www.linkedin.com/company/startup-world-cup,events services,130,San Jose,California,United States,,,,,,2011,apollo
Storm3,http://www.storm3.com,,http://www.linkedin.com/company/storm3,staffing & recruiting,71,New York,New York,United States,,,,,,2020,apollo
(WiMLDS) Women in Machine Learning & Data Science,http://www.wimlds.org,,http://www.linkedin.com/company/wimlds,civic & social organization,21,New York,New York,United States,,,,,,2013,apollo
Coderhouse,http://www.coderhouse.com,,http://www.linkedin.com/school/coderhouse,education management,230,,Arkansas,United States,,,,,,2014,apollo
Greylock Partners,http://www.greylock.com,,http://www.linkedin.com/company/greylock-partners,venture capital & private equity,150,Menlo Park,California,United States,,,,,,1965,apollo
[ICML] Int'l Conference on Machine Learning,http://www.icml.cc,,http://www.linkedin.com/company/icmlconf,electrical/electronic manufacturing,11,San Diego,California,United States,,,,,,1996,apollo
Data Science Dojo,http://www.datasciencedojo.com,,http://www.linkedin.com/school/data-science-dojo,professional training & coaching,79,Redmond,Washington,United States,,,,,,2013,apollo
Harvard Business Review,http://www.hbr.org,,http://www.linkedin.com/company/harvard-business-review,publishing,450,Boston,Massachusetts,United States,,,,,,1922,apollo
Simon Sinek's The Optimism Company,http://www.simonsinek.com,,http://www.linkedin.com/company/simon-sinek,professional training & coaching,140,New York,New York,United States,,,,,,2008,apollo
AI For Business,,,http://www.linkedin.com/company/aiforbusiness-official,online media,110,San Francisco,California,United States,,,,,,,apollo
BayOne Solutions,http://www.bayone.com,,http://www.linkedin.com/company/bayone-solutions,information technology & services,450,Pleasanton,California,United States,,,,,,2012,apollo
Steneral Consulting,http://www.steneral.com,,http://www.linkedin.com/company/steneral-consulting,information technology & services,79,Plano,Texas,United States,,,,,,2016,apollo
The Ad Professor,http://www.theadprofessor.com,,http://www.linkedin.com/company/brilliantads,marketing & advertising,300,,New York,United States,,,,,,2013,apollo
FTI Consulting,,,http://www.linkedin.com/company/fti-consulting,,83,Washington,District of Columbia,United States,,,,,,1982,apollo
Jobot Consulting,,,http://www.linkedin.com/company/jobot-consulting,management consulting,70,Newport Beach,California,United States,,,,,,2018,apollo
STAND 8 Technology Consulting,http://www.stand8.io,,http://www.linkedin.com/company/stand8,information technology & services,350,Seal Beach,California,United States,,,,,,2009,apollo
ADWEEK,http://www.adweek.com,,http://www.linkedin.com/company/adweek,information technology & services,400,New York,New York,United States,,,,,,1979,apollo
"Prudent Technologies and Consulting, Inc.",http://www.prudentconsulting.com,,http://www.linkedin.com/company/prudent-technologies-and-consulting-inc,information technology & services,370,Farmers Branch,Texas,United States,,,,,,1998,apollo
Inductive Automation,http://www.inductiveautomation.com,,http://www.linkedin.com/company/inductive-automation,machinery,340,Folsom,California,United States,,,,,,2003,apollo
Optomi,http://www.optomi.com,,http://www.linkedin.com/company/optomi,information technology & services,410,Atlanta,Georgia,United States,,,,,,2012,apollo
AI For Productivity,,,http://www.linkedin.com/company/aiforproductivity,online media,140,San Francisco,California,United States,,,,,,2021,apollo
Scrut Automation,http://www.scrut.io,,http://www.linkedin.com/company/scrut-automation,information technology & services,230,Palo Alto,California,United States,,,,,,2022,apollo
"Stellar Consulting Solutions, LLC",http://www.stellarconsulting.com,,http://www.linkedin.com/company/stellar-consulting-solutions,information technology & services,110,Roswell,Georgia,United States,,,,,,2015,apollo
Intellectt Inc,http://www.intellectt.com,,http://www.linkedin.com/company/intellecttinc,information technology & services,460,Woodbridge Township,New Jersey,United States,,,,,,2018,apollo
Marketer Tips,http://www.chasedimond.com,,http://www.linkedin.com/company/marketer-tips,online media,210,Los Angeles,California,United States,,,,,,,apollo
TSR Consulting,http://www.tsrconsulting.com,,http://www.linkedin.com/company/tsr-consulting-services,staffing & recruiting,170,Hauppauge,New York,United States,,,,,,1969,apollo
Pantone,http://www.pantone.com,,http://www.linkedin.com/company/pantone,design,430,Carlstadt,New Jersey,United States,,,,,,1963,apollo
INSIDEA,http://www.insidea.com,,http://www.linkedin.com/company/insidea,information technology & services,160,San Francisco,California,United States,,,,,,2023,apollo
Talos Automation,http://www.talosautomation.com,,http://www.linkedin.com/company/talos-automation,machinery,52,Troy,Michigan,United States,,,,,,2013,apollo
Avo Automation,http://www.avoautomation.com,,http://www.linkedin.com/company/avoautomation,information technology & services,140,Cincinnati,Ohio,United States,,,,,,2015,apollo
Amerit Consulting,http://www.ameritconsulting.com,,http://www.linkedin.com/company/amerit-consulting,staffing & recruiting,95,Elk Grove,California,United States,,,,,,2001,apollo
eStaffing Inc.,http://www.estaffinginc.com,,http://www.linkedin.com/company/estaffinginc,staffing & recruiting,200,Allen,Texas,United States,,,,,,2020,apollo
Tech Consulting,http://www.techconsulting.net,,http://www.linkedin.com/company/techconsultingusa,information technology & services,150,Atlanta,Georgia,United States,,,,,,2015,apollo
Compri Consulting,http://www.compri.com,,http://www.linkedin.com/company/compri-consulting,information technology & services,44,Denver,Colorado,United States,,,,,,1992,apollo
Ztek Consulting,http://www.ztekinc.com,,http://www.linkedin.com/company/ztek-inc,staffing & recruiting,220,Duluth,Georgia,United States,,,,,,2001,apollo
The Female Quotient,http://www.thefemalequotient.com,,http://www.linkedin.com/company/femalequotient,marketing & advertising,450,Los Angeles,California,United States,,,,,,2015,apollo
Dahl Consulting,http://www.dahlconsulting.com,,http://www.linkedin.com/company/dahl-consulting,staffing & recruiting,150,Edina,Minnesota,United States,,,,,,1993,apollo
Themesoft Inc.,http://www.themesoft.com,,http://www.linkedin.com/company/themesoft-inc.,information technology & services,140,Coppell,Texas,United States,,,,,,2004,apollo
A3 - Association for Advancing Automation,http://www.automate.org,,http://www.linkedin.com/company/association-for-advancing-automation,civic & social organization,32,Ann Arbor,Michigan,United States,,,,,,1974,apollo
Chronos Consulting,http://www.coberonchronos.com,,http://www.linkedin.com/company/chronos-consulting,human resources,81,Las Vegas,Nevada,United States,,,,,,2003,apollo
Flexton Inc.,http://www.flextoninc.com,,http://www.linkedin.com/company/flexton-inc,information technology & services,160,San Jose,California,United States,,,,,,2007,apollo
Planet Technology,,,http://www.linkedin.com/company/the-planet-technology,staffing & recruiting,300,Bedford,Massachusetts,United States,,,,,,2009,apollo
Sprinto,http://www.sprinto.com,,http://www.linkedin.com/company/sprinto-com,information technology & services,330,Mountain View,California,United States,,,,,,2020,apollo
Lorven Technologies Inc.,http://www.lorventech.com,,http://www.linkedin.com/company/lorventech,information technology & services,390,Plainsboro Township,New Jersey,United States,,,,,,2001,apollo
Atyeti Inc,http://www.atyeti.com,,http://www.linkedin.com/company/atyeti-inc,information technology & services,450,Princeton,New Jersey,United States,,,,,,2008,apollo
Virtustant,http://www.virtustant.com,,http://www.linkedin.com/company/virtustant,information technology & services,210,Greenwich,Connecticut,United States,,,,,,2021,apollo
ManpowerGroup Colombia,http://www.manpowergroupcolombia.co,,http://www.linkedin.com/company/manpowergroup-colombia,human resources,480,Milwaukee,Wisconsin,United States,,,,,,1976,apollo
Wand AI,http://www.wand.ai,,http://www.linkedin.com/company/wand1,information technology & services,170,Palo Alto,California,United States,,,,,,2022,apollo
Chatbase,http://www.chatbase.co,,http://www.linkedin.com/company/chatbase-co,information technology & services,54,San Francisco,California,United States,,,,,,2023,apollo
CrewAI,http://www.crewai.com,,http://www.linkedin.com/company/crewai-inc,information technology & services,45,San Francisco,California,United States,,,,,,,apollo
Agent.ai,http://www.agent.ai,,http://www.linkedin.com/company/agent.ai,information technology & services,73,Mountain View,California,United States,,,,,,2016,apollo
TestMu AI,http://www.testmuai.com,,http://www.linkedin.com/company/testmu-ai,information technology & services,470,San Francisco,California,United States,,,,,,2018,apollo
Tray.ai,http://www.tray.ai,,http://www.linkedin.com/company/tray-ai,information technology & services,140,San Francisco,California,United States,,,,,,2012,apollo
LlamaIndex,http://www.llamaindex.ai,,http://www.linkedin.com/company/llamaindex,information technology & services,81,San Francisco,California,United States,,,,,,,apollo
Engati,http://www.engati.ai,,http://www.linkedin.com/company/engati,information technology & services,110,Wilmington,Delaware,United States,,,,,,2021,apollo
Bik.ai,http://www.bik.ai,,http://www.linkedin.com/company/bikglobal,information technology & services,350,Palo Alto,California,United States,,,,,,2022,apollo
Reality AI Lab,http://www.realityai.tech,,http://www.linkedin.com/company/reality-ai-lab,information technology & services,300,New York,New York,United States,,,,,,2022,apollo
kokoro.doctor,http://www.kokoro.doctor,,http://www.linkedin.com/company/kokoro-doc,hospital & health care,68,Boston,Massachusetts,United States,,,,,,2024,apollo
Sendbird,http://www.sendbird.com,,http://www.linkedin.com/company/sendbird,information technology & services,310,San Mateo,California,United States,,,,,,2013,apollo
Stier Solutions Inc,http://www.stiersol.com,,http://www.linkedin.com/company/stier-solutions-inc,information technology & services,130,Alpharetta,Georgia,United States,,,,,,,apollo
Pronix Inc,http://www.pronixinc.com,,http://www.linkedin.com/company/pronix-inc,information technology & services,200,Plainsboro Township,New Jersey,United States,,,,,,2010,apollo
Markovate,http://www.markovate.com,,http://www.linkedin.com/company/markovate,information technology & services,55,San Francisco,California,United States,,,,,,2015,apollo
WotNot,http://www.wotnot.io,,http://www.linkedin.com/company/wotnot-io,information technology & services,31,Dover,Delaware,United States,,,,,,2018,apollo
Tars,http://www.hellotars.com,,http://www.linkedin.com/company/tars,information technology & services,43,Newark,Delaware,United States,,,,,,2016,apollo
Translators without Borders,http://www.translatorswithoutborders.org,,http://www.linkedin.com/company/translators-without-borders,translation & localization,130,Garden City,Idaho,United States,,,,,,2010,apollo
Rexus Group,http://www.rexus-group.com,,http://www.linkedin.com/company/rexus-group,information technology & services,110,Wilmington,Delaware,United States,,,,,,2016,apollo
"AGI, Inc.",http://www.theagi.company,,http://www.linkedin.com/company/the-agi-company,information technology & services,42,San Francisco,California,United States,,,,,,2025,apollo
Sierra,http://www.sierra.ai,,http://www.linkedin.com/company/sierra,information technology & services,320,San Francisco,California,United States,,,,,,2023,apollo
ConverSight,http://www.conversight.ai,,http://www.linkedin.com/company/conversight,information technology & services,82,Indianapolis,Indiana,United States,,,,,,2017,apollo
Apptunix,http://www.apptunix.com,,http://www.linkedin.com/company/apptunixus,information technology & services,360,New York,New York,United States,,,,,,2013,apollo
Continua AI,http://www.continua.ai,,http://www.linkedin.com/company/continua-ai,information technology & services,11,New York,New York,United States,,,,,,2023,apollo
aiXplain,http://www.aixplain.com,,http://www.linkedin.com/company/aixplain,information technology & services,45,San Jose,California,United States,,,,,,2020,apollo
Search Engine Land,http://www.searchengineland.com,,http://www.linkedin.com/company/search-engine-land,information technology & services,110,Edgartown,Massachusetts,United States,,,,,,2006,apollo
"Intellectyx, Inc.",http://www.intellectyx.com,,http://www.linkedin.com/company/intellectyx,information technology & services,110,Denver,Colorado,United States,,,,,,2010,apollo
MagicSchool AI,http://www.magicschool.ai,,http://www.linkedin.com/company/magicschool-ai,education management,160,Denver,Colorado,United States,,,,,,2023,apollo
Plivo,http://www.plivo.com,,http://www.linkedin.com/company/plivo-inc,information technology & services,300,Austin,Texas,United States,,,,,,2011,apollo
ZAPTA Technologies (Pvt.) Limited,http://www.zaptatech.com,,http://www.linkedin.com/company/zaptatech,information technology & services,250,Houston,Texas,United States,,,,,,2020,apollo
THCO - We Are Hiring!,http://www.thcohq.com,,http://www.linkedin.com/company/thcoglobal,management consulting,72,Wilmington,Delaware,United States,,,,,,,apollo
DataForce,,,http://www.linkedin.com/company/dataforceai,information technology & services,410,New York,New York,United States,,,,,,1992,apollo
Radiansys Inc.,http://www.radiansys.com,,http://www.linkedin.com/company/radiansys-inc,information technology & services,130,Fremont,California,United States,,,,,,2007,apollo
ORO Labs,http://www.orolabs.ai,,http://www.linkedin.com/company/procurewithoro,information technology & services,260,Palo Alto,California,United States,,,,,,2020,apollo
Leena AI,http://www.leena.ai,,http://www.linkedin.com/company/leena-ai,information technology & services,310,San Francisco,California,United States,,,,,,2018,apollo
Weights & Biases,http://www.wandb.ai,,http://www.linkedin.com/company/wandb,information technology & services,320,San Francisco,California,United States,,,,,,2017,apollo
Replit,http://www.replit.com,,http://www.linkedin.com/company/repl-it,information technology & services,340,Foster City,California,United States,,,,,,2016,apollo
Truora Inc.,http://www.truora.com,,http://www.linkedin.com/company/truora,information technology & services,230,San Francisco,California,United States,,,,,,2018,apollo
SambaNova,http://www.sambanova.ai,,http://www.linkedin.com/company/sambanova,computer hardware,450,Palo Alto,California,United States,,,,,,2017,apollo
BrainX Technologies,http://www.brainxtech.com,,http://www.linkedin.com/company/brainx-technologies,information technology & services,140,Middletown,Delaware,United States,,,,,,2017,apollo
interface.ai,http://www.interface.ai,,http://www.linkedin.com/company/interface-ai,information technology & services,230,San Francisco,California,United States,,,,,,2019,apollo
Xeven Solutions,http://www.xevensolutions.com,,http://www.linkedin.com/company/xevensolutions,information technology & services,290,East Stroudsburg,Pennsylvania,United States,,,,,,2016,apollo
Qodex - AI Agent for API Testing & Security,http://www.qodex.ai,,http://www.linkedin.com/company/qodexai,information technology & services,11,San Mateo,California,United States,,,,,,2024,apollo
Artmac,http://www.artmacsoft.com,,http://www.linkedin.com/company/artmac-soft-llc,information technology & services,44,Atlanta,Georgia,United States,,,,,,2011,apollo
AI & Prompts Hub,http://www.aiplanetx.com,,http://www.linkedin.com/company/ai-prompts-community,information technology & services,44,Sheridan,Wyoming,United States,,,,,,2022,apollo
SurveySparrow,http://www.surveysparrow.com,,http://www.linkedin.com/company/surveysparrow,information technology & services,430,Palo Alto,California,United States,,,,,,2017,apollo
Digital Janet,http://www.digitaljanet.com,,http://www.linkedin.com/company/digitaljanetllc,staffing & recruiting,33,Austin,Texas,United States,,,,,,,apollo
VectorShift,http://www.vectorshift.ai,,http://www.linkedin.com/company/vectorshift,information technology & services,32,San Francisco,California,United States,,,,,,,apollo
Fusemachines,http://www.fusemachines.com,,http://www.linkedin.com/company/fusemachines,information technology & services,320,New York,New York,United States,,,,,,2013,apollo
qBotica,http://www.qbotica.com,,http://www.linkedin.com/company/qbotica,information technology & services,200,Phoenix,Arizona,United States,,,,,,2017,apollo
VentureBeat,http://www.venturebeat.com,,http://www.linkedin.com/company/venturebeat,information technology & services,330,San Francisco,California,United States,,,,,,2006,apollo
Data Science Central,http://www.datasciencecentral.com,,http://www.linkedin.com/company/data-science-central,publishing,440,Issaquah,Washington,United States,,,,,,2012,apollo
Soho Square Solutions,http://www.sohosquaresolutions.com,,http://www.linkedin.com/company/sohosquaresolutions,management consulting,140,New York,New York,United States,,,,,,2008,apollo
JRD Systems,http://www.jrdsi.com,,http://www.linkedin.com/company/jrd-systems,information technology & services,250,Clinton Township,Michigan,United States,,,,,,1997,apollo
AMISEQ,http://www.amiseq.com,,http://www.linkedin.com/company/amiseq-inc.,information technology & services,220,Milpitas,California,United States,,,,,,2017,apollo
PriceSenz,http://www.pricesenz.com,,http://www.linkedin.com/company/pricesenz,information technology & services,56,Dallas,Texas,United States,,,,,,2015,apollo
"Zillion Technologies, Inc.",http://www.zilliontechnologies.com,,http://www.linkedin.com/company/zillion-technologies,information technology & services,390,Ashburn,Virginia,United States,,,,,,2002,apollo
Futran Solutions,http://www.futransolutions.com,,http://www.linkedin.com/company/futransolutionsinc,information technology & services,300,Edison,New Jersey,United States,,,,,,2010,apollo
CodeVyasa,http://www.codevyasa.com,,http://www.linkedin.com/company/code-vyasa,information technology & services,220,Jacksonville,Florida,United States,,,,,,2018,apollo
"Redolent, Inc",http://www.redolentech.com,,http://www.linkedin.com/company/redolent-inc,information technology & services,32,Fremont,California,United States,,,,,,2008,apollo
NuStar Technologies,http://www.nustartech.com,,http://www.linkedin.com/company/nustar-technologies-inc.,information technology & services,30,Edison,New Jersey,United States,,,,,,2013,apollo
Charter Global,http://www.charterglobal.com,,http://www.linkedin.com/company/charterglobalcg,information technology & services,390,Atlanta,Georgia,United States,,,,,,1994,apollo
Precision Technologies,http://www.precisiontechcorp.com,,http://www.linkedin.com/company/precision-technologies-corp-,information technology & services,410,South Brunswick Township,New Jersey,United States,,,,,,2010,apollo
Creospan Inc.,http://www.creospan.com,,http://www.linkedin.com/company/creospan,information technology & services,190,Schaumburg,Illinois,United States,,,,,,1999,apollo
"Gravity Infosolutions, Inc.",http://www.gravityinfosolutions.com,,http://www.linkedin.com/company/gravityinfosolutions,information technology & services,63,San Jose,California,United States,,,,,,2016,apollo
Nintex RPA (formerly Kryon),,,http://www.linkedin.com/company/kryon,information technology & services,40,Bellevue,Washington,United States,,,,,,2008,apollo
