company,website,emails,phones,linkedin,twitter,facebook,industry,employees,location,description,team_members,source
Cypress HCM,http://www.cypresshcm.com,,,http://www.linkedin.com/company/cypress-hcm,,,staffing & recruiting,200,"Danville, California",,,apollo
Sequoia Capital,http://www.sequoiacap.com,,,http://www.linkedin.com/company/sequoia,,,venture capital & private equity,330,"Menlo Park, California",,,apollo
Quest Groups LLC,http://www.questgroups.com,,,http://www.linkedin.com/company/quest-groups,,,staffing & recruiting,120,"Palo Alto, California",,,apollo
Draper Startup House,http://www.draperstartuphouse.com,,,http://www.linkedin.com/company/draperstartuphouse,,,venture capital & private equity,43,"San Mateo, California",,,apollo
AI Community,http://www.thecommunityai.org,,,http://www.linkedin.com/company/google-ai,,,information technology & services,380,"San Francisco, California",,,apollo
"Agile Resources, Inc.",http://www.gotoagile.com,,,http://www.linkedin.com/company/agile-resources-inc-,,,staffing & recruiting,56,"Alpharetta, Georgia",,,apollo
Synergy Interactive,http://www.sinyc.com,,,http://www.linkedin.com/company/synergy-interactive-solutions,,,staffing & recruiting,160,"New York, New York",,,apollo
Droisys,http://www.droisys.com,,,http://www.linkedin.com/company/droisys,,,information technology & services,450,"Fremont, California",,,apollo
Startup School Online,http://www.startupschool.org,,,http://www.linkedin.com/school/startup-school-online,,,e-learning,21,,,,apollo
Startup San Diego,http://www.startupsd.org,,,http://www.linkedin.com/company/startup-san-diego,,,civic & social organization,20,"San Diego, California",,,apollo
VentureDive,http://www.venturedive.com,,,http://www.linkedin.com/company/venturedive,,,information technology & services,320,"Mountain View, California",,,apollo
Weekday AI (YC W21),http://www.weekday.works,,,http://www.linkedin.com/company/weekdayjobs,,,information technology & services,35,"San Francisco, California",,,apollo
Atlas Search,http://www.atlassearchllc.com,,,http://www.linkedin.com/company/atlas-search,,,staffing & recruiting,210,"New York, New York",,,apollo
Engtal,http://www.engtal.com,,,http://www.linkedin.com/company/engtal,,,staffing & recruiting,47,"Chicago, Illinois",,,apollo
Bitsol,http://www.bitsol.tech,,,http://www.linkedin.com/company/bitsol,,,information technology & services,80,"Dallas, Texas",,,apollo
Highbrow Technology Inc,http://www.highbrowtechnology.com,,,http://www.linkedin.com/company/highbrow-technology-inc,,,information technology & services,310,"Cary, North Carolina",,,apollo
Startup Institute,http://www.startupinstitute.com,,,http://www.linkedin.com/company/startup-institute,,,professional training & coaching,27,"Boston, Massachusetts",,,apollo
Founder & Co,http://www.foundersandco.com,,,http://www.linkedin.com/company/founderandco,,,information technology & services,78,"Palo Alto, California",,,apollo
Recruiting from Scratch,http://www.recruitingfromscratch.com,,,http://www.linkedin.com/company/recruiting-from-scratch,,,staffing & recruiting,64,"New York, New York",,,apollo
Startup World Cup,http://www.startupworldcup.io,,,http://www.linkedin.com/company/startup-world-cup,,,events services,130,"San Jose, California",,,apollo
Storm3,http://www.storm3.com,,,http://www.linkedin.com/company/storm3,,,staffing & recruiting,71,"New York, New York",,,apollo
(WiMLDS) Women in Machine Learning & Data Science,http://www.wimlds.org,,,http://www.linkedin.com/company/wimlds,,,civic & social organization,21,"New York, New York",The owner of this domain has not yet uploaded their website.,,apollo
Coderhouse,http://www.coderhouse.com,,,http://www.linkedin.com/school/coderhouse,,,education management,230, Arkansas,,,apollo
Greylock Partners,http://www.greylock.com,,,http://www.linkedin.com/company/greylock-partners,,,venture capital & private equity,150,"Menlo Park, California",,,apollo
[ICML] Int'l Conference on Machine Learning,http://www.icml.cc,,,http://www.linkedin.com/company/icmlconf,,,electrical/electronic manufacturing,11,"San Diego, California",,,apollo
Data Science Dojo,http://www.datasciencedojo.com,,,http://www.linkedin.com/school/data-science-dojo,,,professional training & coaching,79,"Redmond, Washington",,,apollo
Harvard Business Review,http://www.hbr.org,,,http://www.linkedin.com/company/harvard-business-review,,,publishing,450,"Boston, Massachusetts",,,apollo
Simon Sinek's The Optimism Company,http://www.simonsinek.com,,,http://www.linkedin.com/company/simon-sinek,,,professional training & coaching,140,"New York, New York",,,apollo
BayOne Solutions,http://www.bayone.com,,,http://www.linkedin.com/company/bayone-solutions,,,information technology & services,450,"Pleasanton, California",,,apollo
Steneral Consulting,http://www.steneral.com,,,http://www.linkedin.com/company/steneral-consulting,,,information technology & services,79,"Plano, Texas",,,apollo
The Ad Professor,http://www.theadprofessor.com,,,http://www.linkedin.com/company/brilliantads,,,marketing & advertising,300, New York,,,apollo
STAND 8 Technology Consulting,http://www.stand8.io,,,http://www.linkedin.com/company/stand8,,,information technology & services,350,"Seal Beach, California",,,apollo
ADWEEK,http://www.adweek.com,,,http://www.linkedin.com/company/adweek,,,information technology & services,400,"New York, New York",,,apollo
"Prudent Technologies and Consulting, Inc.",http://www.prudentconsulting.com,,,http://www.linkedin.com/company/prudent-technologies-and-consulting-inc,,,information technology & services,370,"Farmers Branch, Texas",,,apollo
Inductive Automation,http://www.inductiveautomation.com,,,http://www.linkedin.com/company/inductive-automation,,,machinery,340,"Folsom, California",,,apollo
Optomi,http://www.optomi.com,,,http://www.linkedin.com/company/optomi,,,information technology & services,410,"Atlanta, Georgia",,,apollo
Scrut Automation,http://www.scrut.io,,,http://www.linkedin.com/company/scrut-automation,,,information technology & services,230,"Palo Alto, California",,,apollo
"Stellar Consulting Solutions, LLC",http://www.stellarconsulting.com,,,http://www.linkedin.com/company/stellar-consulting-solutions,,,information technology & services,110,"Roswell, Georgia",,,apollo
Intellectt Inc,http://www.intellectt.com,,,http://www.linkedin.com/company/intellecttinc,,,information technology & services,460,"Woodbridge Township, New Jersey",,,apollo
Marketer Tips,http://www.chasedimond.com,,,http://www.linkedin.com/company/marketer-tips,,,online media,210,"Los Angeles, California",,,apollo
TSR Consulting,http://www.tsrconsulting.com,,,http://www.linkedin.com/company/tsr-consulting-services,,,staffing & recruiting,170,"Hauppauge, New York",,,apollo
Pantone,http://www.pantone.com,,,http://www.linkedin.com/company/pantone,,,design,430,"Carlstadt, New Jersey",,,apollo
INSIDEA,http://www.insidea.com,,,http://www.linkedin.com/company/insidea,,,information technology & services,160,"San Francisco, California",,,apollo
Talos Automation,http://www.talosautomation.com,,,http://www.linkedin.com/company/talos-automation,,,machinery,52,"Troy, Michigan",,,apollo
Avo Automation,http://www.avoautomation.com,,,http://www.linkedin.com/company/avoautomation,,,information technology & services,140,"Cincinnati, Ohio",,,apollo
Amerit Consulting,http://www.ameritconsulting.com,,,http://www.linkedin.com/company/amerit-consulting,,,staffing & recruiting,95,"Elk Grove, California",,,apollo
eStaffing Inc.,http://www.estaffinginc.com,,+1 416 303 8798,https://ca.linkedin.com/in/lida-mohammadi-10aab848,,,staffing & recruiting,200,"Allen, Texas",Toronto Architecture Firm,,apollo
Tech Consulting,http://www.techconsulting.net,,,http://www.linkedin.com/company/techconsultingusa,,,information technology & services,150,"Atlanta, Georgia",,,apollo
Compri Consulting,http://www.compri.com,marketing@mwtapp.com,,http://www.linkedin.com/company/compri-consulting,,,information technology & services,44,"Denver, Colorado",,,apollo
Ztek Consulting,http://www.ztekinc.com,,,http://www.linkedin.com/company/ztek-inc,,,staffing & recruiting,220,"Duluth, Georgia",,,apollo
The Female Quotient,http://www.thefemalequotient.com,,,http://www.linkedin.com/company/femalequotient,,,marketing & advertising,450,"Los Angeles, California",,,apollo
Dahl Consulting,http://www.dahlconsulting.com,,,http://www.linkedin.com/company/dahl-consulting,,,staffing & recruiting,150,"Edina, Minnesota",,,apollo
Themesoft Inc.,http://www.themesoft.com,,+604800,http://www.linkedin.com/company/themesoft-inc.,,,information technology & services,140,"Coppell, Texas",Just another WordPress site,,apollo
A3 - Association for Advancing Automation,http://www.automate.org,,,http://www.linkedin.com/company/association-for-advancing-automation,,,civic & social organization,32,"Ann Arbor, Michigan",,,apollo
Chronos Consulting,http://www.coberonchronos.com,,,http://www.linkedin.com/company/chronos-consulting,,,human resources,81,"Las Vegas, Nevada",,,apollo
Flexton Inc.,http://www.flextoninc.com,,,http://www.linkedin.com/company/flexton-inc,,,information technology & services,160,"San Jose, California",,,apollo
Sprinto,http://www.sprinto.com,,,http://www.linkedin.com/company/sprinto-com,,,information technology & services,330,"Mountain View, California",,,apollo
Lorven Technologies Inc.,http://www.lorventech.com,,,http://www.linkedin.com/company/lorventech,,,information technology & services,390,"Plainsboro Township, New Jersey",,,apollo
Atyeti Inc,http://www.atyeti.com,,,http://www.linkedin.com/company/atyeti-inc,,,information technology & services,450,"Princeton, New Jersey",,,apollo
Virtustant,http://www.virtustant.com,,,http://www.linkedin.com/company/virtustant,,,information technology & services,210,"Greenwich, Connecticut",,,apollo
ManpowerGroup Colombia,http://www.manpowergroupcolombia.co,,,http://www.linkedin.com/company/manpowergroup-colombia,,,human resources,480,"Milwaukee, Wisconsin",,,apollo
Wand AI,http://www.wand.ai,,,http://www.linkedin.com/company/wand1,,,information technology & services,170,"Palo Alto, California",,,apollo
Chatbase,http://www.chatbase.co,,,http://www.linkedin.com/company/chatbase-co,,,information technology & services,54,"San Francisco, California",,,apollo
CrewAI,http://www.crewai.com,,,http://www.linkedin.com/company/crewai-inc,,,information technology & services,45,"San Francisco, California",,,apollo
Agent.ai,http://www.agent.ai,,,http://www.linkedin.com/company/agent.ai,,,information technology & services,73,"Mountain View, California",,,apollo
TestMu AI,http://www.testmuai.com,,,http://www.linkedin.com/company/testmu-ai,,,information technology & services,470,"San Francisco, California",,,apollo
Tray.ai,http://www.tray.ai,,,http://www.linkedin.com/company/tray-ai,,,information technology & services,140,"San Francisco, California",,,apollo
LlamaIndex,http://www.llamaindex.ai,,,http://www.linkedin.com/company/llamaindex,,,information technology & services,81,"San Francisco, California",,,apollo
Engati,http://www.engati.ai,,,http://www.linkedin.com/company/engati,,,information technology & services,110,"Wilmington, Delaware",,,apollo
Bik.ai,http://www.bik.ai,,,http://www.linkedin.com/company/bikglobal,,,information technology & services,350,"Palo Alto, California",,,apollo
Reality AI Lab,http://www.realityai.tech,,,http://www.linkedin.com/company/reality-ai-lab,,,information technology & services,300,"New York, New York",,,apollo
kokoro.doctor,http://www.kokoro.doctor,,,http://www.linkedin.com/company/kokoro-doc,,,hospital & health care,68,"Boston, Massachusetts",,,apollo
Sendbird,http://www.sendbird.com,,,http://www.linkedin.com/company/sendbird,,,information technology & services,310,"San Mateo, California",,,apollo
Stier Solutions Inc,http://www.stiersol.com,,,http://www.linkedin.com/company/stier-solutions-inc,,,information technology & services,130,"Alpharetta, Georgia",,,apollo
Pronix Inc,http://www.pronixinc.com,,,http://www.linkedin.com/company/pronix-inc,,,information technology & services,200,"Plainsboro Township, New Jersey",,,apollo
Markovate,http://www.markovate.com,,,http://www.linkedin.com/company/markovate,,,information technology & services,55,"San Francisco, California",,,apollo
WotNot,http://www.wotnot.io,,,http://www.linkedin.com/company/wotnot-io,,,information technology & services,31,"Dover, Delaware",,,apollo
Tars,http://www.hellotars.com,,,http://www.linkedin.com/company/tars,,,information technology & services,43,"Newark, Delaware",,,apollo
Translators without Borders,http://www.translatorswithoutborders.org,,,http://www.linkedin.com/company/translators-without-borders,,,translation & localization,130,"Garden City, Idaho",,,apollo
Rexus Group,http://www.rexus-group.com,,,http://www.linkedin.com/company/rexus-group,,,information technology & services,110,"Wilmington, Delaware",,,apollo
"AGI, Inc.",http://www.theagi.company,,,http://www.linkedin.com/company/the-agi-company,,,information technology & services,42,"San Francisco, California",,,apollo
Sierra,http://www.sierra.ai,,,http://www.linkedin.com/company/sierra,,,information technology & services,320,"San Francisco, California",,,apollo
ConverSight,http://www.conversight.ai,,,http://www.linkedin.com/company/conversight,,,information technology & services,82,"Indianapolis, Indiana",,,apollo
Apptunix,http://www.apptunix.com,,,http://www.linkedin.com/company/apptunixus,,,information technology & services,360,"New York, New York",,,apollo
Continua AI,http://www.continua.ai,,,http://www.linkedin.com/company/continua-ai,,,information technology & services,11,"New York, New York",,,apollo
aiXplain,http://www.aixplain.com,,,http://www.linkedin.com/company/aixplain,,,information technology & services,45,"San Jose, California",,,apollo
Search Engine Land,http://www.searchengineland.com,,,http://www.linkedin.com/company/search-engine-land,,,information technology & services,110,"Edgartown, Massachusetts",,,apollo
"Intellectyx, Inc.",http://www.intellectyx.com,,,http://www.linkedin.com/company/intellectyx,,,information technology & services,110,"Denver, Colorado",,,apollo
MagicSchool AI,http://www.magicschool.ai,,,http://www.linkedin.com/company/magicschool-ai,,,education management,160,"Denver, Colorado",,,apollo
Plivo,http://www.plivo.com,,,http://www.linkedin.com/company/plivo-inc,,,information technology & services,300,"Austin, Texas",,,apollo
ZAPTA Technologies (Pvt.) Limited,http://www.zaptatech.com,,,http://www.linkedin.com/company/zaptatech,,,information technology & services,250,"Houston, Texas",,,apollo
THCO - We Are Hiring!,http://www.thcohq.com,,,http://www.linkedin.com/company/thcoglobal,,,management consulting,72,"Wilmington, Delaware",,,apollo
Radiansys Inc.,http://www.radiansys.com,,,http://www.linkedin.com/company/radiansys-inc,,,information technology & services,130,"Fremont, California",,,apollo
ORO Labs,http://www.orolabs.ai,,,http://www.linkedin.com/company/procurewithoro,,,information technology & services,260,"Palo Alto, California",,,apollo
Leena AI,http://www.leena.ai,,,http://www.linkedin.com/company/leena-ai,,,information technology & services,310,"San Francisco, California",,,apollo
Weights & Biases,http://www.wandb.ai,,,http://www.linkedin.com/company/wandb,,,information technology & services,320,"San Francisco, California",,,apollo
Replit,http://www.replit.com,,,http://www.linkedin.com/company/repl-it,,,information technology & services,340,"Foster City, California",,,apollo
Truora Inc.,http://www.truora.com,,,http://www.linkedin.com/company/truora,,,information technology & services,230,"San Francisco, California",,,apollo
SambaNova,http://www.sambanova.ai,,,http://www.linkedin.com/company/sambanova,,,computer hardware,450,"Palo Alto, California",,,apollo
BrainX Technologies,http://www.brainxtech.com,,,http://www.linkedin.com/company/brainx-technologies,,,information technology & services,140,"Middletown, Delaware",,,apollo
interface.ai,http://www.interface.ai,,,http://www.linkedin.com/company/interface-ai,,,information technology & services,230,"San Francisco, California",,,apollo
Xeven Solutions,http://www.xevensolutions.com,,,http://www.linkedin.com/company/xevensolutions,,,information technology & services,290,"East Stroudsburg, Pennsylvania",,,apollo
Qodex - AI Agent for API Testing & Security,http://www.qodex.ai,,,http://www.linkedin.com/company/qodexai,,,information technology & services,11,"San Mateo, California",,,apollo
Artmac,http://www.artmacsoft.com,,,http://www.linkedin.com/company/artmac-soft-llc,,,information technology & services,44,"Atlanta, Georgia",,,apollo
AI & Prompts Hub,http://www.aiplanetx.com,,,http://www.linkedin.com/company/ai-prompts-community,,,information technology & services,44,"Sheridan, Wyoming",,,apollo
SurveySparrow,http://www.surveysparrow.com,,,http://www.linkedin.com/company/surveysparrow,,,information technology & services,430,"Palo Alto, California",,,apollo
Digital Janet,http://www.digitaljanet.com,,,http://www.linkedin.com/company/digitaljanetllc,,,staffing & recruiting,33,"Austin, Texas",,,apollo
VectorShift,http://www.vectorshift.ai,,,http://www.linkedin.com/company/vectorshift,,,information technology & services,32,"San Francisco, California",,,apollo
Fusemachines,http://www.fusemachines.com,,,http://www.linkedin.com/company/fusemachines,,,information technology & services,320,"New York, New York",,,apollo
qBotica,http://www.qbotica.com,,,http://www.linkedin.com/company/qbotica,,,information technology & services,200,"Phoenix, Arizona",,,apollo
VentureBeat,http://www.venturebeat.com,,,http://www.linkedin.com/company/venturebeat,,,information technology & services,330,"San Francisco, California",,,apollo
Data Science Central,http://www.datasciencecentral.com,,,http://www.linkedin.com/company/data-science-central,,,publishing,440,"Issaquah, Washington",,,apollo
Soho Square Solutions,http://www.sohosquaresolutions.com,,,http://www.linkedin.com/company/sohosquaresolutions,,,management consulting,140,"New York, New York",,,apollo
JRD Systems,http://www.jrdsi.com,info@10kislands.com,1259344; 1237859; 1251710,http://www.linkedin.com/company/jrd-systems,https://twitter.com/10kislands,https://www.facebook.com/10kislands,information technology & services,250,"Clinton Township, Michigan",,,apollo
AMISEQ,http://www.amiseq.com,,,http://www.linkedin.com/company/amiseq-inc.,,https://www.facebook.com/Plesk,information technology & services,220,"Milpitas, California",,,apollo
PriceSenz,http://www.pricesenz.com,,,http://www.linkedin.com/company/pricesenz,,,information technology & services,56,"Dallas, Texas",,,apollo
"Zillion Technologies, Inc.",http://www.zilliontechnologies.com,,,http://www.linkedin.com/company/zillion-technologies,,,information technology & services,390,"Ashburn, Virginia",,,apollo
Futran Solutions,http://www.futransolutions.com,,,http://www.linkedin.com/company/futransolutionsinc,,,information technology & services,300,"Edison, New Jersey",,,apollo
CodeVyasa,http://www.codevyasa.com,,,http://www.linkedin.com/company/code-vyasa,,,information technology & services,220,"Jacksonville, Florida",,,apollo
"Redolent, Inc",http://www.redolentech.com,,,http://www.linkedin.com/company/redolent-inc,,,information technology & services,32,"Fremont, California",,,apollo
NuStar Technologies,http://www.nustartech.com,,,http://www.linkedin.com/company/nustar-technologies-inc.,,,information technology & services,30,"Edison, New Jersey",,,apollo
Charter Global,http://www.charterglobal.com,,,http://www.linkedin.com/company/charterglobalcg,,,information technology & services,390,"Atlanta, Georgia",,,apollo
Precision Technologies,http://www.precisiontechcorp.com,,,http://www.linkedin.com/company/precision-technologies-corp-,,,information technology & services,410,"South Brunswick Township, New Jersey",,,apollo
Creospan Inc.,http://www.creospan.com,,,http://www.linkedin.com/company/creospan,,,information technology & services,190,"Schaumburg, Illinois",,,apollo
"Gravity Infosolutions, Inc.",http://www.gravityinfosolutions.com,,,http://www.linkedin.com/company/gravityinfosolutions,,,information technology & services,63,"San Jose, California",,,apollo
"Technogen, Inc.",http://www.technogeninc.com,,,http://www.linkedin.com/company/technogeninc,,,information technology & services,240,"Chantilly, Virginia",,,apollo
BotCity,http://www.botcity.ai,,,http://www.linkedin.com/company/botcity,,,information technology & services,51,"San Francisco, California",,,apollo
"ExcelGens, Inc.",http://www.excelgens.com,info@excelgens.com,7530511; 9956918; 0030511; 0072804; 1550008,https://www.linkedin.com/company/excelgens-inc/mycompany/verification/,https://twitter.com/i/flow/login?redirect_after_login=%2FExcelGens_Inc,https://www.facebook.com/ExcelGens/,information technology & services,240,"Denville, New Jersey","Despite new automation tools, staffing continues to be a long, inefficient and risky process. What’s needed is an integrated system that consistently produces",,apollo
Noblesoft Solutions,http://www.noblesoft-solutions.com,,,http://www.linkedin.com/company/noblesoft-solutions,,,information technology & services,150,"Langhorne, Pennsylvania",,,apollo
CodeNinja Inc.,http://www.codeninjaconsulting.com,,,http://www.linkedin.com/company/codeninjainc,,,information technology & services,230,"Austin, Texas",,,apollo
Staffigo,http://www.staffigo.com,,,http://www.linkedin.com/company/staffigo,https://twitter.com/Djoshawn,https://www.facebook.com/DJOshawn/,information technology & services,140,"Woodridge, Illinois","DJ Oshawn is not just a DJ and MC; he is truly the embodiment of an entertainer. Whether it is his own annual events or a booked occasion, he delivers an experience that creates an atmosphere of exclusivity for all attendees. DJ Oshawn prides his brand on connecting with his audience,
as he aims to have every individual feel free to let loose, live in the moment and unwind on the musical journey he creates.",,apollo
Thoughtful AI,http://www.smartertech.com,,,http://www.linkedin.com/company/thoughtful-ai,,,information technology & services,160,"Austin, Texas",,,apollo
Comptech Associates,http://www.comptechassoc.com,,,http://www.linkedin.com/company/comptech-associates-inc.,,,information technology & services,66,"Franklin Township, New Jersey",,,apollo
Numeric Technologies,http://www.numerictech.com,,,http://www.linkedin.com/company/numerictech,,,information technology & services,330,"Warrenville, Illinois",,,apollo
Inactive Page,http://www.wisemen.com,,,http://www.linkedin.com/company/pleasefollownewpage,,,information technology & services,120,"Houston, Texas",,,apollo
HelpSystems,http://www.helpsystems.com,,,http://www.linkedin.com/company/helpsystems-llc,,,information technology & services,170,"Eden Prairie, Minnesota",,,apollo
SysTechCorp Inc,http://www.systechus.com,,,http://www.linkedin.com/company/systechcorp,,,information technology & services,220,"South Plainfield, New Jersey",,,apollo
Technology Ventures,http://www.tventures.net,,,http://www.linkedin.com/company/technology-ventures,,,information technology & services,82,"McLean, Virginia",,,apollo
Quantum Integrators,http://www.quantumintegrators.com,,,http://www.linkedin.com/company/quantum-integrators-group-llc,,,information technology & services,280,"West Windsor Township, New Jersey",,,apollo
The Lab Consulting,http://www.thelabconsulting.com,,,http://www.linkedin.com/company/the-lab-consulting,,,management consulting,99,"Houston, Texas",,,apollo
ComResource,http://www.comresource.com,,,http://www.linkedin.com/company/comresource,,,information technology & services,150,"Columbus, Ohio",,,apollo
McLaren Strategic Solutions (MSS),http://www.mclarenss.com,,,http://www.linkedin.com/company/mclaren-strategic-solutions-mss,,,management consulting,150,"Irvine, California",,,apollo
Experfy,http://www.experfy.com,,,http://www.linkedin.com/company/experfy,,,information technology & services,44,"Boston, Massachusetts",,,apollo
Hyperscience,http://www.hyperscience.ai,,,http://www.linkedin.com/company/hyperscience,,,information technology & services,230,"New York, New York",,,apollo
Agile Tech Labs,http://www.agile-techlabs.com,,,http://www.linkedin.com/company/agile-techlabs,,,information technology & services,43,"Southfield, Michigan",,,apollo
Figure,http://www.figure.ai,,,http://www.linkedin.com/company/figure-ai,,,machinery,370,"San Jose, California",,,apollo
Agility Robotics,http://www.agilityrobotics.com,,,http://www.linkedin.com/company/agilityrobotics,,,mechanical or industrial engineering,420,"Salem, Oregon",,,apollo
GBIT (Global Bridge InfoTech Inc),http://www.gbitinc.com,,,http://www.linkedin.com/company/global-bridge-infotech-inc-,,,information technology & services,130,"Irving, Texas",,,apollo
Radiant Digital,http://www.radiant.digital,,,http://www.linkedin.com/company/radiant-digital-solutions,,,information technology & services,260,"Vienna, Virginia",,,apollo
