ID,Company_Name,Industry_Vertical,Sub_Category,City,State,Estimated_Employees,Estimated_Revenue_Range,AI_Automation_Use_Case,Estimated_Deal_Size,Decision_Maker_Title,Website,Priority_Score,Notes,Contact_Email,Alt_Emails,Contact_Phone,Alt_Phones,Email_Source
20,Midwest Orthopaedics at Rush,Healthcare / Medical Practices,Orthopedics,Chicago,IL,500,$50M-$100M,Patient scheduling AI,$10K-$20K,Practice Administrator,www.rushortho.com,3,Top-ranked ortho practice,contact@rushortho.com,,6615346724,3053256444; 0323766903,pattern
21,WellNow Urgent Care,Healthcare / Medical Practices,Urgent Care,Syracuse,NY,1800,$100M-$200M,Patient triage AI,$10K-$25K,VP of Operations,www.wellnow.com,3,Expanding in Northeast US,info@wellnow.com,contact@wellnow.com,,,pattern
22,Fast Pace Health,Healthcare / Medical Practices,Urgent Care,Franklin,TN,2500,$200M-$500M,Clinical documentation AI,$15K-$30K,Chief Technology Officer,www.fastpacehealth.com,4,Rapid growth; rural-focused,info@fastpacehealth.com,contact@fastpacehealth.com,1734062602,1753407932; 1741727681,pattern
23,CityMD,Healthcare / Medical Practices,Urgent Care,New York,NY,3000,$500M-$1B,Patient check-in automation,$20K-$40K,VP of Technology,www.citymd.com,5,Part of VillageMD/Walgreens,info@citymd.com,contact@citymd.com,,,pattern
24,MinuteClinic (CVS Health),Healthcare / Medical Practices,Retail Health,Woonsocket,RI,4000,$500M-$1B,Patient scheduling AI,$25K-$50K,Director of Digital Health,www.cvs.com/minuteclinic,4,1100+ locations inside CVS,info@cvs.com,contact@cvs.com,6845098009,4243658649; 2072710835,pattern
25,Oak Street Health,Healthcare / Medical Practices,Primary Care,Chicago,IL,6000,$1B+,Care coordination AI,$30K-$50K,Chief Digital Officer,www.oakstreethealth.com,5,Now part of CVS; Medicare-focused,info@oakstreethealth.com,contact@oakstreethealth.com,8297009583,1686079937; 8888986762,pattern
26,agilon health,Healthcare / Medical Practices,Primary Care Platform,Long Beach,CA,800,$500M-$1B,Population health AI,$25K-$50K,VP of Technology,www.agilonhealth.com,5,Value-based care platform,info@agilonhealth.com,contact@agilonhealth.com,172.3954126,441276.5425; 774054.6648,pattern
27,One Medical,Healthcare / Medical Practices,Primary Care,San Francisco,CA,3000,$500M-$1B,Patient engagement AI,$20K-$40K,CTO,www.onemedical.com,4,Amazon subsidiary; tech-forward,techsupport@onemedical.com,feedback@onemedical.com; press@onemedical.com; strategicsourcing@onemedical.com,0156225786,1-888-663-6331; 888-663-6331,scraped
28,ChenMed,Healthcare / Medical Practices,Primary Care,Miami,FL,3500,$500M-$1B,Care management AI,$20K-$40K,Chief Information Officer,www.chenmed.com,4,Senior-focused primary care,info@chenmed.com,contact@chenmed.com,1124488044,1012052024; 1012045612,pattern
29,Privia Health,Healthcare / Medical Practices,Multi-Specialty,Arlington,VA,4000,$1B+,Revenue cycle AI,$25K-$50K,Chief Technology Officer,www.priviahealth.com,5,700+ provider groups,priviapress@priviahealth.com,compliance@priviahealth.com; physicians@priviahealth.com,1090060840,1439942037; 3651432023,scraped
30,Marathon Health,Healthcare / Medical Practices,Employer Health,Burlington,VT,1500,$200M-$500M,Patient scheduling AI,$15K-$25K,VP of Operations,www.marathon-health.com,3,Employer-sponsored health centers,hello@marathon.health,patient@marathon.health; press@marathon.health,16930780880,17714422102; 16932711066,scraped
31,VillageMD,Healthcare / Medical Practices,Primary Care,Chicago,IL,8000,$1B+,Clinical AI assistants,$30K-$50K,Chief Digital Officer,www.villagemd.com,5,Walgreens-backed; 680+ locations,patient-relations@villagemd.com,,6517503933,17721980090; 6517503932,scraped
32,Carbon Health,Healthcare / Medical Practices,Primary Care/Urgent,San Francisco,CA,2000,$200M-$500M,AI-powered diagnostics,$15K-$30K,CTO,www.carbonhealth.com,4,Tech-first healthcare,support@carbonhealth.com,billing@carbonhealth.com; u003ecarbonfap@carbonhealth.com; u003creferralteam@carbonhealth.com,1152807572,17594764037; +1-415-612-3256,scraped
33,Iora Health,Healthcare / Medical Practices,Primary Care,Boston,MA,1200,$100M-$200M,Care coordination AI,$15K-$25K,VP of Technology,www.iorahealth.com,3,Now part of One Medical,info@iorahealth.com,contact@iorahealth.com,,,pattern
34,PhyNet Dermatology,Healthcare / Medical Practices,Dermatology,Fort Worth,TX,600,$50M-$100M,Patient engagement automation,$10K-$20K,Director of Operations,www.phynetderm.com,3,Growing PE-backed derm platform,info@phynetderm.com,contact@phynetderm.com,,,pattern
35,Anne Arundel Dermatology,Healthcare / Medical Practices,Dermatology,Annapolis,MD,500,$50M-$100M,Scheduling and billing AI,$10K-$20K,Practice Manager,www.aadermatology.com,3,Mid-Atlantic derm leader,info@aadermatology.com,contact@aadermatology.com,1772479321,17302377673; 1772478798,pattern
36,Sanova Dermatology,Healthcare / Medical Practices,Dermatology,Austin,TX,400,$25M-$50M,Patient follow-up AI,$8K-$15K,Operations Director,www.sanovadermatology.com,3,Texas-based growing network,info@sanovadermatology.com,contact@sanovadermatology.com,,,pattern
37,Resurgens Orthopaedics,Healthcare / Medical Practices,Orthopedics,Atlanta,GA,600,$100M-$200M,Surgical scheduling AI,$10K-$25K,Director of IT,www.resurgens.com,3,Largest ortho in Atlanta,info@resurgens.com,,10000000000,9842590724; 2486714329,pattern
38,Optum Care,Healthcare / Medical Practices,Multi-Specialty,Eden Prairie,MN,50000,$10B+,AI clinical decision support,$40K-$50K,SVP of Innovation,www.optum.com,5,UnitedHealth subsidiary; massive network,info@optum.com,contact@optum.com,2878280618,17646923670; 17616083908,pattern
39,TeamHealth,Healthcare / Medical Practices,Hospital-Based,Knoxville,TN,20000,$5B+,Clinical documentation AI,$30K-$50K,Chief Digital Officer,www.teamhealth.com,5,16000+ clinicians,business_development@teamhealth.com,physicianjobs@teamhealth.com; patientbillinginquiries@teamhealth.com; media@teamhealth.com,1542740174,1023690 7292; 10974483231,scraped
40,Sound Physicians,Healthcare / Medical Practices,Hospital-Based,Tacoma,WA,4000,$500M-$1B,Revenue cycle AI,$20K-$40K,VP of Technology,www.soundphysicians.com,4,Multi-state hospitalist group,info@soundphysicians.com,contact@soundphysicians.com,17619418322,1770742473; 1770744814,pattern
41,Kirkland & Ellis,Legal / Law Firms,BigLaw,Chicago,IL,3828,$5B+,Document review AI,$40K-$50K,Chief Innovation Officer,www.kirkland.com,5,Am Law #1; $8.8B gross revenue,info@kirkland.com,contact@kirkland.com,,,pattern
42,Latham & Watkins,Legal / Law Firms,BigLaw,Los Angeles,CA,3584,$5B+,Contract analysis AI,$40K-$50K,Chief Technology Officer,www.lw.com,5,Am Law #2; $7B revenue,pr@lw.com,,1166821258,7972708479; 7599005028,scraped
43,DLA Piper,Legal / Law Firms,BigLaw,Chicago,IL,4827,$1B+,Intake automation,$30K-$50K,CIO,www.dlapiper.com,5,4827 attorneys; global reach,info@dlapiper.com,contact@dlapiper.com,,,pattern
44,Baker McKenzie,Legal / Law Firms,BigLaw,Chicago,IL,4700,$1B+,Contract lifecycle AI,$30K-$50K,Chief Innovation Officer,www.bakermckenzie.com,5,Global firm with AI appetite,info@bakermckenzie.com,contact@bakermckenzie.com,,,pattern
45,Gibson Dunn,Legal / Law Firms,BigLaw,Los Angeles,CA,1940,$1B+,Litigation analytics AI,$30K-$50K,Director of Innovation,www.gibsondunn.com,5,Am Law top 5; $3.5B revenue,inquiriesmedia@gibsondunn.com,inquiries@gibsondunn.com; media@gibsondunn.com; kmarquart@gibsondunn.com,1772316500,1772316503; 7078932045,scraped
46,Sidley Austin,Legal / Law Firms,BigLaw,Chicago,IL,1979,$1B+,Document review AI,$30K-$50K,CTO,www.sidley.com,4,Am Law top 10,info@sidley.com,contact@sidley.com,,,pattern
47,Ropes & Gray,Legal / Law Firms,BigLaw,Boston,MA,1466,$1B+,Due diligence AI,$30K-$50K,Chief Knowledge Officer,www.ropesgray.com,4,Am Law top 10; $3.4B revenue,info@ropesgray.com,contact@ropesgray.com,1250168159,17685124579; 081125-1430,pattern
48,Morgan Lewis,Legal / Law Firms,BigLaw,Philadelphia,PA,2200,$1B+,Contract analysis AI,$25K-$50K,Director of Legal Tech,www.morganlewis.com,4,2200+ lawyers,info@morganlewis.com,contact@morganlewis.com,,,pattern
49,Greenberg Traurig,Legal / Law Firms,BigLaw,Miami,FL,2750,$1B+,Client intake AI,$25K-$50K,CIO,www.gtlaw.com,4,Global reach; 45 offices,info@gtlaw.com,contact@gtlaw.com,,,pattern
50,Hogan Lovells,Legal / Law Firms,BigLaw,Washington,DC,2800,$1B+,Regulatory compliance AI,$25K-$50K,Chief Innovation Officer,www.hoganlovells.com,4,Strong regulatory practice,graduate.recruitment@hoganlovells.com,bdoperations@hoganlovells.com; accounts.payable@hoganlovells.com; informationsecurity@hoganlovells.com,13844977769,0000000029; 5118022188,scraped
51,Dorsey & Whitney,Legal / Law Firms,Mid-Size,Minneapolis,MN,550,$500M-$1B,Document review AI,$15K-$30K,Director of IT,www.dorsey.com,3,Am Law 101; $513M revenue,info@dorsey.com,contact@dorsey.com,,,pattern
52,Williams Mullen,Legal / Law Firms,Mid-Size,Richmond,VA,300,$100M-$200M,Contract analysis AI,$10K-$25K,Director of Technology,www.williamsmullen.com,3,Am Law 173; $195M revenue,ask@williamsmullen.com,acctsdisb@williamsmullen.com; mediainquiry@williamsmullen.com,+1-804-420-6000,+1-804-420-6507; 3153600000,scraped
53,Freeman Mathis & Gary,Legal / Law Firms,Mid-Size,Atlanta,GA,350,$100M-$200M,Litigation support AI,$10K-$25K,Chief Operating Officer,www.fmglaw.com,3,Am Law 185; fast growing,info@fmglaw.com,contact@fmglaw.com,1769517429,1705596436; 1054343634,pattern
54,Corboy & Demetrio,Legal / Law Firms,Personal Injury,Chicago,IL,50,$50M-$100M,Case intake AI,$10K-$20K,Managing Partner,www.corboydemetrio.com,3,$5B+ in verdicts,info@corboydemetrio.com,contact@corboydemetrio.com,1772144773,7944887913; 800.356.3191,pattern
55,Thomas J. Henry,Legal / Law Firms,Personal Injury,San Antonio,TX,200,$100M-$200M,Lead intake automation,$15K-$25K,Director of Operations,www.thomasjhenrylaw.com,4,Major PI firm; national reach,info@tjhlaw.com,,+1-361-254-7873,(210) 941-2939; (512) 520-0221,scraped
56,Lubin & Meyer,Legal / Law Firms,Personal Injury,Boston,MA,30,$25M-$50M,Case assessment AI,$8K-$15K,Managing Partner,www.lubinandmeyer.com,3,36 million-dollar verdicts in 2024,info@lubinandmeyer.com,contact@lubinandmeyer.com,(617) 720-4447,1029697315; 10936253773,pattern
57,Reeves Law Group,Legal / Law Firms,Personal Injury,Los Angeles,CA,40,$25M-$50M,Client intake automation,$8K-$15K,Office Manager,www.reaborneslaw.com,3,30+ years; $250M+ recovered,info@reaborneslaw.com,contact@reaborneslaw.com,,,pattern
58,Levin & Perconti,Legal / Law Firms,Personal Injury,Chicago,IL,25,$10M-$25M,Case management AI,$8K-$15K,Managing Partner,www.levinperconti.com,3,200+ years combined experience,info@levinperconti.com,contact@levinperconti.com,2147483630,4537203526; 3852306660,pattern
59,Goldberg Persky & White,Legal / Law Firms,Personal Injury,Pittsburgh,PA,80,$25M-$50M,Document review AI,$10K-$20K,Director of IT,www.gpwlaw.com,3,35+ years; asbestos focus,info@gpwlaw.com,contact@gpwlaw.com,1745953746,1768317983; 11482029215,pattern
60,Nelson Mullins,Legal / Law Firms,Mid-Size,Columbia,SC,900,$500M-$1B,Contract lifecycle AI,$20K-$35K,Chief Innovation Officer,www.nelsonmullins.com,4,Am Law 100; 30+ offices,gc@nelsonmullins.com,,+1-800-237-2000,1765986385; 1764949613,scraped
61,Polsinelli,Legal / Law Firms,Mid-Size,Kansas City,MO,1000,$500M-$1B,Healthcare regulatory AI,$20K-$35K,CIO,www.polsinelli.com,4,Am Law 100; health law focus,info@polsinelli.com,contact@polsinelli.com,,,pattern
62,Husch Blackwell,Legal / Law Firms,Mid-Size,Kansas City,MO,750,$500M-$1B,Contract analysis AI,$15K-$30K,Director of Innovation,www.huschblackwell.com,4,18 offices; diverse practice,info@huschblackwell.com,contact@huschblackwell.com,,,pattern
63,Littler Mendelson,Legal / Law Firms,Employment Law,San Francisco,CA,1800,$1B+,Employment compliance AI,$20K-$40K,Chief Technology Officer,www.littler.com,4,Largest employment law firm,info@littler.com,contact@littler.com,,,pattern
64,Fisher Phillips,Legal / Law Firms,Employment Law,Atlanta,GA,600,$200M-$500M,HR compliance AI,$15K-$25K,Director of IT,www.fisherphillips.com,3,37 offices; labor law focus,fpcontactus@fisherphillips.com,,1439760884,1318970872; 500.0000000,scraped
65,Ogletree Deakins,Legal / Law Firms,Employment Law,Greenville,SC,950,$500M-$1B,Document automation,$15K-$30K,CIO,www.ogletree.com,4,56 offices; employment law,info@ogletree.com,contact@ogletree.com,1999999999,591748-1024; 591748-1536,pattern
66,Jackson Lewis,Legal / Law Firms,Employment Law,White Plains,NY,950,$500M-$1B,Intake automation,$15K-$30K,Director of Technology,www.jacksonlewis.com,4,58 offices nationwide,info@jacksonlewis.com,contact@jacksonlewis.com,133178.1687,034092.1687; 273611.1687,pattern
67,Ice Miller,Legal / Law Firms,Mid-Size,Indianapolis,IN,350,$200M-$500M,Contract review AI,$10K-$25K,Director of IT,www.icemiller.com,3,Strong Midwest presence,info@icemiller.com,contact@icemiller.com,12417176891,,pattern
68,Ballard Spahr,Legal / Law Firms,Mid-Size,Philadelphia,PA,600,$500M-$1B,eDiscovery AI,$15K-$30K,Chief Innovation Officer,www.ballardspahr.com,4,15 offices; diverse practice,info@ballardspahr.com,contact@ballardspahr.com,,,pattern
69,Blank Rome,Legal / Law Firms,Mid-Size,Philadelphia,PA,600,$500M-$1B,Document review AI,$15K-$30K,Director of Technology,www.blankrome.com,4,14 offices nationwide,webmaster@blankrome.com,,1187609169,1499331632; 1465854239,scraped
70,Stoel Rives,Legal / Law Firms,Mid-Size,Portland,OR,400,$200M-$500M,Contract analysis AI,$10K-$25K,Director of IT,www.stoel.com,3,West Coast focused,info@stoel.com,contact@stoel.com,,,pattern
71,Sheppard Mullin,Legal / Law Firms,Mid-Size,Los Angeles,CA,1000,$500M-$1B,Legal research AI,$20K-$35K,CIO,www.sheppardmullin.com,4,Am Law 100; 16 offices,info@sheppardmullin.com,contact@sheppardmullin.com,,,pattern
72,Seyfarth Shaw,Legal / Law Firms,Mid-Size,Chicago,IL,900,$500M-$1B,Process automation AI,$20K-$35K,Chief Innovation Officer,www.seyfarth.com,4,Known for legal innovation,info@seyfarth.com,contact@seyfarth.com,,,pattern
73,Lewis Brisbois,Legal / Law Firms,Mid-Size,Los Angeles,CA,1500,$500M-$1B,Litigation analytics AI,$15K-$30K,Director of Technology,www.lewisbrisbois.com,4,50+ offices; rapid growth,info@lewisbrisbois.com,contact@lewisbrisbois.com,2401994693,1768417779; 128.172 3228,pattern
74,Buchanan Ingersoll & Rooney,Legal / Law Firms,Mid-Size,Pittsburgh,PA,400,$200M-$500M,Client intake AI,$10K-$25K,Director of IT,www.bipc.com,3,15 offices,info@bipc.com,contact@bipc.com,,,pattern
75,Burns & Levinson,Legal / Law Firms,Mid-Size,Boston,MA,125,$50M-$100M,Contract review AI,$8K-$20K,Managing Partner,www.burnslev.com,3,Founded 1960; Boston-based,info@burnslev.com,contact@burnslev.com,,,pattern
76,Davis Wright Tremaine,Legal / Law Firms,Mid-Size,Seattle,WA,550,$500M-$1B,Document review AI,$15K-$30K,CIO,www.dwt.com,4,9 offices; NW focus,info@dwt.com,contact@dwt.com,,,pattern
77,Dentons,Legal / Law Firms,BigLaw,Washington,DC,12000,$1B+,Knowledge management AI,$30K-$50K,Chief Innovation Officer,www.dentons.com,5,World largest law firm,info@dentons.com,contact@dentons.com,,,pattern
78,Jones Day,Legal / Law Firms,BigLaw,Cleveland,OH,2400,$1B+,Document review AI,$30K-$50K,CTO,www.jonesday.com,5,42 offices globally,info@jonesday.com,contact@jonesday.com,,,pattern
79,Quinn Emanuel,Legal / Law Firms,Litigation,Los Angeles,CA,900,$1B+,Litigation analytics AI,$25K-$50K,Director of Innovation,www.quinnemanuel.com,5,Top litigation firm,publicrelations@quinnemanuel.com,,6390804786,,scraped
80,Paul Weiss,Legal / Law Firms,BigLaw,New York,NY,1100,$1B+,Due diligence AI,$30K-$50K,Chief Knowledge Officer,www.paulweiss.com,5,Am Law top 10; NY-based,pdavidson@paulweiss.com,dprice@paulweiss.com; lvandrie@paulweiss.com; probono@paulweiss.com,0526554893,5173676587; 0000036555,scraped
81,Greystar,Real Estate / Property Management,Multifamily PM,Charleston,SC,25000,$1B+,Lead qualification AI,$25K-$50K,Chief Technology Officer,www.greystar.com,5,980K+ units; largest multifamily manager,bob@greystar.com,,0000000031,17722627784; 17722626614,scraped
82,Asset Living,Real Estate / Property Management,Multifamily PM,Houston,TX,8000,$500M-$1B,Tenant screening AI,$20K-$40K,VP of Technology,www.assetliving.com,4,289K units managed,info@assetliving.com,,5331610730,4166666666; 8126951092,pattern
83,RPM Living,Real Estate / Property Management,Multifamily PM,Austin,TX,5000,$200M-$500M,Listing automation,$15K-$30K,Director of Innovation,www.rpmliving.com,4,219K units managed,info@rpmliving.com,contact@rpmliving.com,5124809886,(999) 999-9999; 17659054576,pattern
84,Willow Bridge Property Co,Real Estate / Property Management,Multifamily PM,Dallas,TX,4500,$200M-$500M,Tenant communication AI,$15K-$30K,CTO,www.willowbridgepc.com,4,220K units; 75 markets,info@willowbridgepc.com,contact@willowbridgepc.com,1696362820,1696362819; 1696346450,pattern
85,Cushman & Wakefield,Real Estate / Property Management,Commercial RE,Chicago,IL,52000,$5B+,Lead qualification AI,$30K-$50K,Chief Digital Officer,www.cushmanwakefield.com,5,7.1B sq ft managed,info@cushmanwakefield.com,contact@cushmanwakefield.com,6390724524,6390807666; 2811466965,pattern
86,CBRE,Real Estate / Property Management,Commercial RE,Dallas,TX,130000,$10B+,Property analytics AI,$40K-$50K,CTO,www.cbre.com,5,7.3B sq ft; #1 commercial PM,info@cbre.com,contact@cbre.com,842.672 1226,1-8592614110,pattern
87,JLL,Real Estate / Property Management,Commercial RE,Chicago,IL,106000,$10B+,Tenant engagement AI,$30K-$50K,Chief Technology Officer,www.jll.com,5,4.6B sq ft managed,info@jll.com,contact@jll.com,0000000025,1210745285; 17710734191,pattern
88,Lincoln Property Company,Real Estate / Property Management,Commercial RE,Dallas,TX,8000,$500M-$1B,Lease management AI,$20K-$40K,VP of Technology,www.lpc.com,4,557M sq ft managed,info@lpc.com,contact@lpc.com,17909881724,17037769522; 17037772233,pattern
89,Colliers International,Real Estate / Property Management,Commercial RE,Seattle,WA,19000,$1B+,Market analytics AI,$25K-$50K,Chief Innovation Officer,www.colliers.com,4,2.5B sq ft managed,info@colliers.com,contact@colliers.com,4914414348,827834-5199; 694716-5237,pattern
90,Hines,Real Estate / Property Management,Commercial RE,Houston,TX,5000,$1B+,Building operations AI,$25K-$50K,CTO,www.hines.com,5,274M sq ft; 112% growth,info@hines.com,contact@hines.com,,,pattern
91,Evernest,Real Estate / Property Management,Residential PM,Birmingham,AL,1500,$100M-$200M,Tenant screening AI,$10K-$25K,Chief Technology Officer,www.evernest.co,4,47K+ doors; largest residential PM,support@evernest.co,,+1-205-940-6363,6883388256; 19788873410,scraped
92,BH Management Services,Real Estate / Property Management,Multifamily PM,Des Moines,IA,3500,$200M-$500M,Leasing AI chatbot,$15K-$25K,VP of Operations,www.bhmanagement.com,4,107K units; 37 states,info@bhmanagement.com,contact@bhmanagement.com,2614222333,3495073498; 515.244.2622,pattern
93,WinnResidential,Real Estate / Property Management,Affordable Housing,Boston,MA,4000,$200M-$500M,Compliance automation,$15K-$30K,Director of IT,www.winncompanies.com,4,116K units; largest affordable manager,info@winnco.com,residenthotline@winnco.com; tmustacato@winnco.com; vendorrelations@winnco.com,1661439729,1657508106; 1657125430,scraped
94,Keller Williams Realty,Real Estate / Property Management,Brokerage,Austin,TX,180000,$1B+,Lead nurturing AI,$25K-$50K,Chief Innovation Officer,www.kw.com,5,Largest RE brokerage; tech focus,info@kw.com,contact@kw.com,2147483647,1-1308866042; 0171818182,pattern
95,RE/MAX,Real Estate / Property Management,Brokerage,Denver,CO,140000,$300M-$500M,Listing automation,$20K-$40K,CTO,www.remax.com,5,Global brand; franchise model,matt@remaxcentralia.com,uebelrealty@gmail.com; remaxmuscatine@gmail.com; soldbyremaxres@gmail.com,372-4984848,641-236-6683; 7777103317,scraped
96,Coldwell Banker,Real Estate / Property Management,Brokerage,Madison,NJ,100000,$500M-$1B,Lead qualification AI,$20K-$40K,VP of Technology,www.coldwellbanker.com,4,Realogy subsidiary,info@coldwellbanker.com,contact@coldwellbanker.com,7499999999,8196721311; 2026100985,pattern
97,Compass,Real Estate / Property Management,Brokerage,New York,NY,28000,$5B+,Market analytics AI,$25K-$50K,Chief Technology Officer,www.compass.com,5,Tech-first brokerage,press@compass.com,,212-913-9058,+1-212-913-9058; +1-646-982-0353,scraped
98,eXp Realty,Real Estate / Property Management,Virtual Brokerage,Bellingham,WA,85000,$1B+,Agent productivity AI,$20K-$40K,CTO,www.exprealty.com,4,Cloud-based; rapid growth,info@exprealty.net,info@zoocasa.com; privacy@expworldholdings.com,1 833-303-0610,1075134436; 1103229253,scraped
99,Marcus & Millichap,Real Estate / Property Management,Commercial Brokerage,Calabasas,CA,2000,$500M-$1B,Deal matching AI,$15K-$30K,Director of Technology,www.marcusmillichap.com,4,Leading investment brokerage,michael.glass@marcusmillichap.com,,6390452731,6390807666; 884777-3208,scraped
100,Newmark,Real Estate / Property Management,Commercial RE,New York,NY,7200,$1B+,Lease analytics AI,20K-$40K,Chief Innovation Officer,www.nmrk.com,4,Full-service commercial RE,digital@nmrk.com,hello@happycog.com,16598885229,1757969226; 6353476349,scraped
101,Sentral,Real Estate / Property Management,Multifamily PM,Denver,CO,800,$50M-$100M,Tenant engagement AI,$10K-$20K,CTO,www.sentral.com,3,160% growth; flexible living,info@sentral.com,contact@sentral.com,1684781907,1768408723; 1681832555,pattern
