ID,Company_Name,Industry_Vertical,Sub_Category,City,State,Estimated_Employees,Estimated_Revenue_Range,AI_Automation_Use_Case,Estimated_Deal_Size,Decision_Maker_Title,Website,Priority_Score,Notes,Contact_Email,Alt_Emails,Contact_Phone,Alt_Phones,Email_Source,DM_Name,DM_Professional_Email,DM_Email_Patterns,DM_LinkedIn_Search,LinkedIn_Company,LinkedIn_People_Found,Twitter,Facebook,Instagram,YouTube,Name_Source,DM_Google_Search
11,Forefront Dermatology,Healthcare / Medical Practices,Dermatology,Manitowoc,WI,2500,$200M-$500M,Patient scheduling AI,$15K-$25K,VP of IT,www.forefrontdermatology.com,4,339 physicians; 190+ clinics in 26 states,info@forefrontdermatology.com,contact@forefrontdermatology.com,(177) 153-5680,(262) 784-7820,pattern,,,[first].[last]@forefrontdermatology.com; [f][last]@forefrontdermatology.com; [first]@forefrontdermatology.com; [first][last]@forefrontdermatology.com,https://www.linkedin.com/search/results/people/?keywords=%22VP+of+IT%22+%22Forefront+Dermatology%22,https://www.linkedin.com/company/forefront-dermatology/,,https://twitter.com/forefrontderm,https://www.facebook.com/forefrontderm,,,,https://www.google.com/search?q=Forefront+Dermatology+%22VP+of+IT%22+site%3Alinkedin.com%2Fin
12,Schweiger Dermatology Group,Healthcare / Medical Practices,Dermatology,New York,NY,1500,$100M-$200M,EHR integration AI,$10K-$20K,Director of Technology,www.schweigerderm.com,3,264 physicians,info@schweigerderm.com,contact@schweigerderm.com,,(607) 417-1854; (844) 337-6362,pattern,,,[first].[last]@schweigerderm.com; [f][last]@schweigerderm.com; [first]@schweigerderm.com; [first][last]@schweigerderm.com,https://www.linkedin.com/search/results/people/?keywords=%22Director+of+Technology%22+%22Schweiger+Dermatology+Group%22,https://www.linkedin.com/company/schweiger-dermatology/,,,https://www.facebook.com/schweigerderm,https://www.instagram.com/schweigerderm,,,https://www.google.com/search?q=Schweiger+Dermatology+Group+%22Director+of+Technology%22+site%3Alinkedin.com%2Fin
13,Epiphany Dermatology,Healthcare / Medical Practices,Dermatology,Austin,TX,800,$50M-$100M,Patient engagement automation,$10K-$20K,Chief Operating Officer,www.epiphanydermatology.com,3,169 physicians; growing network,info@epiphanydermatology.com,contact@epiphanydermatology.com,(371) 551-2411,(206) 350-6169; (203) 298-7295,pattern,,,[first].[last]@epiphanydermatology.com; [f][last]@epiphanydermatology.com; [first]@epiphanydermatology.com; [first][last]@epiphanydermatology.com,https://www.linkedin.com/search/results/people/?keywords=%22Chief+Operating+Officer%22+%22Epiphany+Dermatology%22,https://www.linkedin.com/company/epiphany-dermatology/,,,https://www.facebook.com/epiphanyderm,https://www.instagram.com/epiphanydermatology/,,,https://www.google.com/search?q=Epiphany+Dermatology+%22Chief+Operating+Officer%22+site%3Alinkedin.com%2Fin
14,U.S. Dermatology Partners,Healthcare / Medical Practices,Dermatology,Dallas,TX,2000,$200M-$500M,Medical billing automation,$15K-$25K,VP of Operations,www.usdermatologypartners.com,4,100+ locations in 8 states; 2M patients/year,info@usdermatologypartners.com,contact@usdermatologypartners.com,,(102) 835-0621; (713) 879-1864,pattern,,,[first].[last]@usdermatologypartners.com; [f][last]@usdermatologypartners.com; [first]@usdermatologypartners.com; [first][last]@usdermatologypartners.com,https://www.linkedin.com/search/results/people/?keywords=%22VP+of+Operations%22+%22U.S.+Dermatology+Partners%22,,,https://x.com/USDermPartners,https://www.facebook.com/USDermatologyPartners/,https://www.instagram.com/usdermpartners/,https://www.youtube.com/c/USDermatologyPartners/,,https://www.google.com/search?q=U.S.+Dermatology+Partners+%22VP+of+Operations%22+site%3Alinkedin.com%2Fin
15,Integrated Dermatology,Healthcare / Medical Practices,Dermatology,Jacksonville,FL,1200,$100M-$200M,Appointment scheduling AI,$10K-$20K,Director of Operations,www.mydermgroup.com,3,Largest independent derm practice; 25+ states,info@mydermgroup.com,contact@mydermgroup.com,(172) 416-2637,(172) 478-0450; (722) 625-7390,pattern,,,[first].[last]@mydermgroup.com; [f][last]@mydermgroup.com; [first]@mydermgroup.com; [first][last]@mydermgroup.com,https://www.linkedin.com/search/results/people/?keywords=%22Director+of+Operations%22+%22Integrated+Dermatology%22,https://www.linkedin.com/company/integrated-dermatology-group/,,,https://www.facebook.com/IntegratedDermatologyGroup/,https://www.instagram.com/integratedderm/,,,https://www.google.com/search?q=Integrated+Dermatology+%22Director+of+Operations%22+site%3Alinkedin.com%2Fin
16,Rothman Orthopaedics,Healthcare / Medical Practices,Orthopedics,Philadelphia,PA,1500,$200M-$500M,Patient intake automation,$15K-$30K,Chief Information Officer,www.rothmanortho.com,4,Largest ortho group; est. 1970,info@rothmanortho.com,contact@rothmanortho.com,(202) 602-2820,(800) 321-9999; (267) 479-1321,pattern,,,[first].[last]@rothmanortho.com; [f][last]@rothmanortho.com; [first]@rothmanortho.com; [first][last]@rothmanortho.com,https://www.linkedin.com/search/results/people/?keywords=%22Chief+Information+Officer%22+%22Rothman+Orthopaedics%22,https://www.linkedin.com/company/rothmanortho,,https://x.com/rothmanortho,https://www.facebook.com/RothmanOrtho/,https://www.instagram.com/rothmanortho/,,,https://www.google.com/search?q=Rothman+Orthopaedics+%22Chief+Information+Officer%22+site%3Alinkedin.com%2Fin
17,OrthoCarolina,Healthcare / Medical Practices,Orthopedics,Charlotte,NC,1200,$200M-$500M,Surgical scheduling AI,$15K-$30K,VP of Technology,www.orthocarolina.com,4,30+ locations in NC,info@orthocarolina.com,contact@orthocarolina.com,(377) 619-7044,(277) 303-5410; (030) 933-5721,pattern,,,[first].[last]@orthocarolina.com; [f][last]@orthocarolina.com; [first]@orthocarolina.com; [first][last]@orthocarolina.com,https://www.linkedin.com/search/results/people/?keywords=%22VP+of+Technology%22+%22OrthoCarolina%22,https://www.linkedin.com/company/orthocarolina,,https://x.com/orthocarolina,https://www.facebook.com/OrthoCarolina,https://www.instagram.com/orthocarolina,,,https://www.google.com/search?q=OrthoCarolina+%22VP+of+Technology%22+site%3Alinkedin.com%2Fin
18,The Centers for Advanced Orthopaedics,Healthcare / Medical Practices,Orthopedics,Bethesda,MD,800,$100M-$200M,Patient follow-up automation,$10K-$25K,Director of IT,www.cfaortho.com,3,Large DC-area ortho group,info@cfaortho.com,contact@cfaortho.com,(176) 850-7599,(163) 552-7360; (176) 850-7598,pattern,,,[first].[last]@cfaortho.com; [f][last]@cfaortho.com; [first]@cfaortho.com; [first][last]@cfaortho.com,https://www.linkedin.com/search/results/people/?keywords=%22Director+of+IT%22+%22The+Centers+for+Advanced+Orthopaedics%22,,,https://twitter.com/cfaortho,https://www.facebook.com/CFAOrtho/,https://www.instagram.com/cfaortho/,https://www.youtube.com/channel/UC667Tad_Cr0boycmBk6NL6g/,,https://www.google.com/search?q=The+Centers+for+Advanced+Orthopaedics+%22Director+of+IT%22+site%3Alinkedin.com%2Fin
19,Illinois Bone & Joint Institute,Healthcare / Medical Practices,Orthopedics,Morton Grove,IL,700,$100M-$200M,EHR integration AI,$10K-$20K,Chief Operating Officer,www.ibji.com,3,100+ physicians; Chicago area,info@ibji.com,contact@ibji.com,(171) 387-0716,(176) 309-0158; (171) 825-2774,pattern,,,[first].[last]@ibji.com; [f][last]@ibji.com; [first]@ibji.com; [first][last]@ibji.com,https://www.linkedin.com/search/results/people/?keywords=%22Chief+Operating+Officer%22+%22Illinois+Bone+%26+Joint+Institute%22,https://www.linkedin.com/company/illinois-bone-and-joint-institute,,,https://www.facebook.com/IllinoisBoneAndJointInstitute,https://www.instagram.com/ibji_/,,,https://www.google.com/search?q=Illinois+Bone+%26+Joint+Institute+%22Chief+Operating+Officer%22+site%3Alinkedin.com%2Fin
20,Midwest Orthopaedics at Rush,Healthcare / Medical Practices,Orthopedics,Chicago,IL,500,$50M-$100M,Patient scheduling AI,$10K-$20K,Practice Administrator,www.rushortho.com,3,Top-ranked ortho practice,contact@rushortho.com,,(661) 534-6724,(305) 325-6444; (032) 376-6903,pattern,,,[first].[last]@rushortho.com; [f][last]@rushortho.com; [first]@rushortho.com; [first][last]@rushortho.com,https://www.linkedin.com/search/results/people/?keywords=%22Practice+Administrator%22+%22Midwest+Orthopaedics+at+Rush%22,https://www.linkedin.com/company/midwest-orthopaedics-at-rush,,https://twitter.com/RushOrthopedics,https://www.facebook.com/MidwestOrthopaedicsatRush/,https://www.instagram.com/mor_docs/,,,https://www.google.com/search?q=Midwest+Orthopaedics+at+Rush+%22Practice+Administrator%22+site%3Alinkedin.com%2Fin
21,WellNow Urgent Care,Healthcare / Medical Practices,Urgent Care,Syracuse,NY,1800,$100M-$200M,Patient triage AI,$10K-$25K,VP of Operations,www.wellnow.com,3,Expanding in Northeast US,info@wellnow.com,contact@wellnow.com,,,pattern,,,[first].[last]@wellnow.com; [f][last]@wellnow.com; [first]@wellnow.com; [first][last]@wellnow.com,https://www.linkedin.com/search/results/people/?keywords=%22VP+of+Operations%22+%22WellNow+Urgent+Care%22,,,,,,,,https://www.google.com/search?q=WellNow+Urgent+Care+%22VP+of+Operations%22+site%3Alinkedin.com%2Fin
22,Fast Pace Health,Healthcare / Medical Practices,Urgent Care,Franklin,TN,2500,$200M-$500M,Clinical documentation AI,$15K-$30K,Chief Technology Officer,www.fastpacehealth.com,4,Rapid growth; rural-focused,info@fastpacehealth.com,contact@fastpacehealth.com,(173) 406-2602,(175) 340-7932; (174) 172-7681,pattern,,,[first].[last]@fastpacehealth.com; [f][last]@fastpacehealth.com; [first]@fastpacehealth.com; [first][last]@fastpacehealth.com,https://www.linkedin.com/search/results/people/?keywords=%22Chief+Technology+Officer%22+%22Fast+Pace+Health%22,https://www.linkedin.com/company/fastpacehealth,,https://x.com/fastpacehealth,https://www.facebook.com/FastPaceHealth,https://www.instagram.com/fastpacehealth/,,,https://www.google.com/search?q=Fast+Pace+Health+%22Chief+Technology+Officer%22+site%3Alinkedin.com%2Fin
23,CityMD,Healthcare / Medical Practices,Urgent Care,New York,NY,3000,$500M-$1B,Patient check-in automation,$20K-$40K,VP of Technology,www.citymd.com,5,Part of VillageMD/Walgreens,info@citymd.com,contact@citymd.com,,,pattern,,,[first].[last]@citymd.com; [f][last]@citymd.com; [first]@citymd.com; [first][last]@citymd.com,https://www.linkedin.com/search/results/people/?keywords=%22VP+of+Technology%22+%22CityMD%22,,,,,,,,https://www.google.com/search?q=CityMD+%22VP+of+Technology%22+site%3Alinkedin.com%2Fin
24,MinuteClinic (CVS Health),Healthcare / Medical Practices,Retail Health,Woonsocket,RI,4000,$500M-$1B,Patient scheduling AI,$25K-$50K,Director of Digital Health,www.cvs.com/minuteclinic,4,1100+ locations inside CVS,info@cvs.com,contact@cvs.com,(684) 509-8009,(424) 365-8649; (207) 271-0835,pattern,,,[first].[last]@cvs.com/minuteclinic; [f][last]@cvs.com/minuteclinic; [first]@cvs.com/minuteclinic; [first][last]@cvs.com/minuteclinic,https://www.linkedin.com/search/results/people/?keywords=%22Director+of+Digital+Health%22+%22MinuteClinic+%28CVS+Health%29%22,https://www.linkedin.com/company/cvs-pharmacy,,https://twitter.com/cvspharmacy,https://www.facebook.com/CVS,https://www.instagram.com/cvspharmacy/,,,https://www.google.com/search?q=MinuteClinic+%28CVS+Health%29+%22Director+of+Digital+Health%22+site%3Alinkedin.com%2Fin
25,Oak Street Health,Healthcare / Medical Practices,Primary Care,Chicago,IL,6000,$1B+,Care coordination AI,$30K-$50K,Chief Digital Officer,www.oakstreethealth.com,5,Now part of CVS; Medicare-focused,info@oakstreethealth.com,contact@oakstreethealth.com,(829) 700-9583,(168) 607-9937; (888) 898-6762,pattern,,,[first].[last]@oakstreethealth.com; [f][last]@oakstreethealth.com; [first]@oakstreethealth.com; [first][last]@oakstreethealth.com,https://www.linkedin.com/search/results/people/?keywords=%22Chief+Digital+Officer%22+%22Oak+Street+Health%22,https://www.linkedin.com/company/oak-street-health,,https://x.com/oakstreethealth,https://www.facebook.com/OakStreetHealth,https://www.instagram.com/oakstreethealth,,,https://www.google.com/search?q=Oak+Street+Health+%22Chief+Digital+Officer%22+site%3Alinkedin.com%2Fin
26,agilon health,Healthcare / Medical Practices,Primary Care Platform,Long Beach,CA,800,$500M-$1B,Population health AI,$25K-$50K,VP of Technology,www.agilonhealth.com,5,Value-based care platform,info@agilonhealth.com,contact@agilonhealth.com,(172) 395-4126,(441) 276-5425; (774) 054-6648,pattern,,,[first].[last]@agilonhealth.com; [f][last]@agilonhealth.com; [first]@agilonhealth.com; [first][last]@agilonhealth.com,https://www.linkedin.com/search/results/people/?keywords=%22VP+of+Technology%22+%22agilon+health%22,https://www.linkedin.com/company/agilonhealth/,,,,https://www.instagram.com/agilonhealth/,https://www.youtube.com/channel/UCMf96WOxRDTqj1n9GsUvDcA,,https://www.google.com/search?q=agilon+health+%22VP+of+Technology%22+site%3Alinkedin.com%2Fin
27,One Medical,Healthcare / Medical Practices,Primary Care,San Francisco,CA,3000,$500M-$1B,Patient engagement AI,$20K-$40K,CTO,www.onemedical.com,4,Amazon subsidiary; tech-forward,techsupport@onemedical.com,feedback@onemedical.com; press@onemedical.com; strategicsourcing@onemedical.com,(015) 622-5786,(888) 663-6331; (888) 663-6331,scraped,,,[first].[last]@onemedical.com; [f][last]@onemedical.com; [first]@onemedical.com; [first][last]@onemedical.com,https://www.linkedin.com/search/results/people/?keywords=%22CTO%22+%22One+Medical%22,https://www.linkedin.com/company/one-medical-group,,https://twitter.com/onemedical,https://www.facebook.com/amazononemedical,https://www.instagram.com/amazononemedical/,https://www.youtube.com/channel/UCVuDmERByiofU8ss3Nz_Odw/,,https://www.google.com/search?q=One+Medical+%22CTO%22+site%3Alinkedin.com%2Fin
28,ChenMed,Healthcare / Medical Practices,Primary Care,Miami,FL,3500,$500M-$1B,Care management AI,$20K-$40K,Chief Information Officer,www.chenmed.com,4,Senior-focused primary care,info@chenmed.com,contact@chenmed.com,(112) 448-8044,(101) 205-2024; (101) 204-5612,pattern,,,[first].[last]@chenmed.com; [f][last]@chenmed.com; [first]@chenmed.com; [first][last]@chenmed.com,https://www.linkedin.com/search/results/people/?keywords=%22Chief+Information+Officer%22+%22ChenMed%22,https://www.linkedin.com/company/chenmed/,,https://twitter.com/ChenMed,https://www.facebook.com/ChenMedFamily,,https://www.youtube.com/channel/UCO9vTlHgHLLSZdi-qgakAUw,,https://www.google.com/search?q=ChenMed+%22Chief+Information+Officer%22+site%3Alinkedin.com%2Fin
29,Privia Health,Healthcare / Medical Practices,Multi-Specialty,Arlington,VA,4000,$1B+,Revenue cycle AI,$25K-$50K,Chief Technology Officer,www.priviahealth.com,5,700+ provider groups,priviapress@priviahealth.com,compliance@priviahealth.com; physicians@priviahealth.com,(130) 255-2950,(258) 353-0691; (133) 769-2863,scraped,,,[first].[last]@priviahealth.com; [f][last]@priviahealth.com; [first]@priviahealth.com; [first][last]@priviahealth.com,https://www.linkedin.com/search/results/people/?keywords=%22Chief+Technology+Officer%22+%22Privia+Health%22,https://www.linkedin.com/company/privia-health,https://www.linkedin.com/in/d-keith-fernandez-36837631; https://www.linkedin.com/in/mark-foulke-71617582/; https://www.linkedin.com/in/rpborchert/,https://www.x.com/priviahealth,https://www.facebook.com/PriviaInc/,https://www.instagram.com/priviahealth,,,https://www.google.com/search?q=Privia+Health+%22Chief+Technology+Officer%22+site%3Alinkedin.com%2Fin
30,Marathon Health,Healthcare / Medical Practices,Employer Health,Burlington,VT,1500,$200M-$500M,Patient scheduling AI,$15K-$25K,VP of Operations,www.marathon-health.com,3,Employer-sponsored health centers,hello@marathon.health,patient@marathon.health; press@marathon.health,(693) 078-0880,(771) 442-2102; (693) 271-1066,scraped,,,[first].[last]@marathon-health.com; [f][last]@marathon-health.com; [first]@marathon-health.com; [first][last]@marathon-health.com,https://www.linkedin.com/search/results/people/?keywords=%22VP+of+Operations%22+%22Marathon+Health%22,https://www.linkedin.com/company/marathon-health/,https://www.linkedin.com/in/chadashcraft/; https://www.linkedin.com/in/steve-tumbarello/; https://www.linkedin.com/in/velezallison/,,https://www.facebook.com/MarathonHealth/,https://www.instagram.com/marathonhealth/,,,https://www.google.com/search?q=Marathon+Health+%22VP+of+Operations%22+site%3Alinkedin.com%2Fin
31,VillageMD,Healthcare / Medical Practices,Primary Care,Chicago,IL,8000,$1B+,Clinical AI assistants,$30K-$50K,Chief Digital Officer,www.villagemd.com,5,Walgreens-backed; 680+ locations,patient-relations@villagemd.com,,(651) 750-3933,(772) 198-0090; (651) 750-3932,scraped,,,[first].[last]@villagemd.com; [f][last]@villagemd.com; [first]@villagemd.com; [first][last]@villagemd.com,https://www.linkedin.com/search/results/people/?keywords=%22Chief+Digital+Officer%22+%22VillageMD%22,,,https://twitter.com/VillageMD,https://www.facebook.com/pcvillagemd/,https://www.instagram.com/villagemd_/,,,https://www.google.com/search?q=VillageMD+%22Chief+Digital+Officer%22+site%3Alinkedin.com%2Fin
32,Carbon Health,Healthcare / Medical Practices,Primary Care/Urgent,San Francisco,CA,2000,$200M-$500M,AI-powered diagnostics,$15K-$30K,CTO,www.carbonhealth.com,4,Tech-first healthcare,support@carbonhealth.com,billing@carbonhealth.com; u003ecarbonfap@carbonhealth.com; u003creferralteam@carbonhealth.com,(115) 280-7572,(759) 476-4037; (415) 612-3256,scraped,,,[first].[last]@carbonhealth.com; [f][last]@carbonhealth.com; [first]@carbonhealth.com; [first][last]@carbonhealth.com,https://www.linkedin.com/search/results/people/?keywords=%22CTO%22+%22Carbon+Health%22,https://www.linkedin.com/company/carbon-health,,https://twitter.com/carbonhealth,https://www.facebook.com/CarbonHealth/,https://www.instagram.com/carbonhealth,,,https://www.google.com/search?q=Carbon+Health+%22CTO%22+site%3Alinkedin.com%2Fin
33,Iora Health,Healthcare / Medical Practices,Primary Care,Boston,MA,1200,$100M-$200M,Care coordination AI,$15K-$25K,VP of Technology,www.iorahealth.com,3,Now part of One Medical,info@iorahealth.com,contact@iorahealth.com,,,pattern,,,[first].[last]@iorahealth.com; [f][last]@iorahealth.com; [first]@iorahealth.com; [first][last]@iorahealth.com,https://www.linkedin.com/search/results/people/?keywords=%22VP+of+Technology%22+%22Iora+Health%22,,,,,,,,https://www.google.com/search?q=Iora+Health+%22VP+of+Technology%22+site%3Alinkedin.com%2Fin
34,PhyNet Dermatology,Healthcare / Medical Practices,Dermatology,Fort Worth,TX,600,$50M-$100M,Patient engagement automation,$10K-$20K,Director of Operations,www.phynetderm.com,3,Growing PE-backed derm platform,info@phynetderm.com,contact@phynetderm.com,,,pattern,,,[first].[last]@phynetderm.com; [f][last]@phynetderm.com; [first]@phynetderm.com; [first][last]@phynetderm.com,https://www.linkedin.com/search/results/people/?keywords=%22Director+of+Operations%22+%22PhyNet+Dermatology%22,,,,,,,,https://www.google.com/search?q=PhyNet+Dermatology+%22Director+of+Operations%22+site%3Alinkedin.com%2Fin
35,Anne Arundel Dermatology,Healthcare / Medical Practices,Dermatology,Annapolis,MD,500,$50M-$100M,Scheduling and billing AI,$10K-$20K,Practice Manager,www.aadermatology.com,3,Mid-Atlantic derm leader,info@aadermatology.com,contact@aadermatology.com,(177) 240-3267,(730) 237-7673; (177) 240-3275,pattern,,,[first].[last]@aadermatology.com; [f][last]@aadermatology.com; [first]@aadermatology.com; [first][last]@aadermatology.com,https://www.linkedin.com/search/results/people/?keywords=%22Practice+Manager%22+%22Anne+Arundel+Dermatology%22,https://www.linkedin.com/company/annearundeldermatology/,,,https://www.facebook.com/AnneArundelDermatology,https://www.instagram.com/annearundelderm/,https://www.youtube.com/@annearundeldermatology,,https://www.google.com/search?q=Anne+Arundel+Dermatology+%22Practice+Manager%22+site%3Alinkedin.com%2Fin
