rank,score,company,website,email,alt_emails,phone,decision_maker,dm_title,founder,industry,location,employees,revenue,ai_use_case,deal_size,linkedin,source
11,100,Jackson Lewis,www.jacksonlewis.com,info@jacksonlewis.com,contact@jacksonlewis.com,(133) 178-1687,,Director of Technology,,Legal / Law Firms,"White Plains, NY",950,$500M-$1B,Intake automation,$15K-$30K,https://www.linkedin.com/company/jackson-lewis-p-c,1000_database
12,100,Blank Rome,www.blankrome.com,webmaster@blankrome.com,,(118) 760-9169,,Director of Technology,,Legal / Law Firms,"Philadelphia, PA",600,$500M-$1B,Document review AI,$15K-$30K,https://www.linkedin.com/company/blank-rome-llp/,1000_database
13,100,Quinn Emanuel,www.quinnemanuel.com,publicrelations@quinnemanuel.com,,(639) 079-7148,,Director of Innovation,,Legal / Law Firms,"Los Angeles, CA",900,$1B+,Litigation analytics AI,$25K-$50K,https://www.linkedin.com/company/quinn-emanuel/,1000_database
14,100,CBRE,www.cbre.com,info@cbre.com,contact@cbre.com,(842) 672-1226,Alexander Doolin,CTO,,Real Estate / Property Management,"Dallas, TX",130000,$10B+,Property analytics AI,$40K-$50K,https://www.linkedin.com/company/cbre,1000_database+prospects_real
15,100,JLL,www.jll.com,info@jll.com,contact@jll.com,(000) 000-0025,Patrick Smith,Chief Technology Officer,,Real Estate / Property Management,"Chicago, IL",106000,$10B+,Tenant engagement AI,$30K-$50K,https://www.linkedin.com/company/jll,1000_database+prospects_real
16,100,Newmark,www.nmrk.com,digital@nmrk.com,hello@happycog.com,(659) 888-5229,Tim McKay,Chief Innovation Officer,,Real Estate / Property Management,"New York, NY",7200,$1B+,Lease analytics AI,20K-$40K,https://www.linkedin.com/company/nmrk-cre,1000_database+prospects_real
17,100,Boston Properties,www.bxp.com,info@bxp.com,contact@bxp.com,(125) 146-7683,,VP of Technology,,Real Estate / Property Management,"Boston, MA",800,$1B+,Building automation AI,$20K-$40K,https://www.linkedin.com/company/bxp-inc,1000_database
18,100,Hylant,www.hylant.com,info@hylant.com,contact@hylant.com,(175) 388-8310,,VP of Technology,,Insurance Agencies,"Toledo, OH",1000,$100M-$200M,Claims processing AI,$8K-$20K,https://www.linkedin.com/company/hylant,1000_database
19,100,Rate Insurance,www.rate.com/insurance,direct.quote@rate.com,,(866) 934-7283,,CTO,,Insurance Agencies,"Chicago, IL",500,$50M-$100M,AI-powered quoting,$8K-$20K,https://linkedin.com/company/rate-official,1000_database
20,100,Insurity,www.insurity.com,info@insurity.com,,(971) 963-9045,,Chief Technology Officer,,Insurance Agencies,"Hartford, CT",800,$100M-$200M,Underwriting automation AI,$15K-$30K,https://www.linkedin.com/company/insurity/,1000_database
21,100,Hippo Insurance,www.hippo.com,sales@hippo.com,u003esales@hippo.com; support@hippo.com; u003esupport@hippo.com,(218) 664-8773,,Chief Technology Officer,,Insurance Agencies,"Austin, TX",800,$100M-$200M,Home insurance AI,$10K-$25K,https://www.linkedin.com/company/10604033,1000_database
22,100,Kin Insurance,www.kin.com,support@kin.com,marketing@kin.com,(855) 717-0022,,CTO,,Insurance Agencies,"Chicago, IL",500,$100M-$200M,Underwriting AI,$10K-$20K,https://www.linkedin.com/company/kin-insurance,1000_database
23,100,Main Street America Insurance,www.msagroup.com,brandmarketing@msagroup.com,,(349) 999-9999,,Director of IT,,Insurance Agencies,"Jacksonville, FL",800,$500M-$1B,Underwriting AI,$10K-$20K,https://www.linkedin.com/company/main-street-america-insurance,1000_database
24,100,Suuchi Inc,www.suuchi.com,info@suuchi.com,contact@suuchi.com,(176) 467-5132,,CTO,,Manufacturing (SMB),"Carlstadt, NJ",300,$25M-$50M,Supply chain AI,$10K-$20K,https://www.linkedin.com/company/suuchi/,1000_database
25,100,Xometry,www.xometry.com,support@xometry.com,randy@xometry.com,(183) 050-9662,,CTO,,Manufacturing (SMB),"North Bethesda, MD",1000,$500M-$1B,Estimating AI,$15K-$30K,https://www.linkedin.com/company/xometry,1000_database
26,100,Omega Protein,www.omegaprotein.com,hq@omegaprotein.com,,(155) 121-9681,,Director of IT,,Manufacturing (SMB),"Houston, TX",800,$200M-$500M,Supply chain AI,$10K-$20K,https://www.linkedin.com/company/omega-protein-inc-/,1000_database
27,100,Redwood Logistics,www.redwoodlogistics.com,inquire@redwoodlogistics.com,,(945) 460-3908,,CTO,,Logistics / Freight / 3PL,"Chicago, IL",800,$200M-$500M,Integration AI,$8K-$20K,https://www.linkedin.com/company/redwood-logistics,1000_database
28,100,Convoy,www.convoy.com,info@convoy.com,contact@convoy.com,(220) 101-8345,,CTO,,Logistics / Freight / 3PL,"Seattle, WA",300,$100M-$200M,AI carrier matching,$8K-$20K,http://www.linkedin.com/company/convoy-greypoint-inc-,1000_database
29,100,Loadsmart,www.loadsmart.com,carrier@loadsmart.com,sales@loadsmart.com,(954) 475-3865,,CTO,,Logistics / Freight / 3PL,"New York, NY",300,$50M-$100M,AI pricing engine,$8K-$15K,https://www.linkedin.com/company/loadsmart,1000_database
30,100,project44,www.project44.com,info@project44.com,contact@project44.com,(684) 266-2164,,Chief Technology Officer,,Logistics / Freight / 3PL,"Chicago, IL",1000,$100M-$200M,Shipment tracking AI,$10K-$25K,https://www.linkedin.com/company/project-44,1000_database
31,100,FourKites,www.fourkites.com,info@fourkites.com,contact@fourkites.com,(177) 182-7915,,CTO,,Logistics / Freight / 3PL,"Chicago, IL",700,$100M-$200M,Predictive tracking AI,$10K-$25K,https://www.linkedin.com/company/fourkites-inc/,1000_database
32,100,MercuryGate,www.mercurygate.com,info@mercurygate.com,contact@mercurygate.com,(116) 474-9952,,CTO,,Logistics / Freight / 3PL,"Cary, NC",400,$50M-$100M,Load optimization AI,$8K-$20K,https://www.linkedin.com/company/infios,1000_database
33,100,Moneta Group,www.monetagroup.com,info@monetagroup.com,contact@monetagroup.com,(666) 666-6667,,Chief Technology Officer,,Financial Advisory / Wealth Management,"St. Louis, MO",600,$200M-$500M,Portfolio reporting AI,$15K-$30K,https://www.linkedin.com/company/monetagroup/,1000_database
34,100,EP Wealth Advisors,www.epwealth.com,info@epwealth.com,contact@epwealth.com,(058) 050-8650,,CTO,,Financial Advisory / Wealth Management,"Torrance, CA",500,$100M-$200M,Client communication AI,$10K-$25K,https://www.linkedin.com/company/ep-wealth-advisors,1000_database
35,100,Savant Wealth Management,www.savantwealth.com,info@savantwealth.com,contact@savantwealth.com,(613) 974-6388,,Director of Technology,,Financial Advisory / Wealth Management,"Rockford, IL",300,$100M-$200M,Compliance AI,$10K-$20K,https://www.linkedin.com/company/savant-wealth-management/,1000_database
36,100,Beacon Pointe Advisors,www.beaconpointe.com,info@beaconpointe.com,contact@beaconpointe.com,(949) 718-1600,,Director of IT,,Financial Advisory / Wealth Management,"Newport Beach, CA",300,$50M-$100M,Portfolio reporting AI,$8K-$20K,https://www.linkedin.com/company/beacon-pointe-ria,1000_database
37,100,Carson Group,www.carsongroup.com,info@carsongroup.com,contact@carsongroup.com,(000) 000-0030,,Chief Technology Officer,,Financial Advisory / Wealth Management,"Omaha, NE",500,$100M-$200M,Client communication AI,$10K-$20K,https://www.linkedin.com/company/carsongroupLLC/,1000_database
38,100,Captrust Financial Advisors,www.captrust.com,info@captrust.com,contact@captrust.com,(102) 233-8785,,VP of Technology,,Financial Advisory / Wealth Management,"Raleigh, NC",1000,$200M-$500M,Portfolio analytics AI,$10K-$25K,https://www.linkedin.com/company/captrust/,1000_database
39,100,Betterment,www.betterment.com,info@betterment.com,contact@betterment.com,(496) 670-7600,,Chief Technology Officer,,Financial Advisory / Wealth Management,"New York, NY",400,$100M-$200M,Tax optimization AI,$10K-$20K,http://www.linkedin.com/company/betterment,1000_database
40,100,Personal Capital (Empower),www.personalcapital.com,info@personalcapital.com,contact@personalcapital.com,(257) 588-1071,,CTO,,Financial Advisory / Wealth Management,"San Carlos, CA",1000,$200M-$500M,Portfolio analytics AI,$10K-$25K,https://www.linkedin.com/company/empowertoday,1000_database
41,95,The Centers for Advanced Orthopaedics,www.cfaortho.com,info@cfaortho.com,contact@cfaortho.com,(176) 850-7599,,Director of IT,,Healthcare / Medical Practices,"Bethesda, MD",800,$100M-$200M,Patient follow-up automation,$10K-$25K,,1000_database
42,95,Thomas J. Henry,www.thomasjhenrylaw.com,info@tjhlaw.com,,(714) 285-7143,,Director of Operations,,Legal / Law Firms,"San Antonio, TX",200,$100M-$200M,Lead intake automation,$15K-$25K,https://www.linkedin.com/company/thomas-j-henry-law/,1000_database
43,95,Ice Miller,www.icemiller.com,info@icemiller.com,contact@icemiller.com,(241) 717-6891,,Director of IT,,Legal / Law Firms,"Indianapolis, IN",350,$200M-$500M,Contract review AI,$10K-$25K,,1000_database
44,95,Sentral,www.sentral.com,info@sentral.com,contact@sentral.com,(168) 478-1907,,CTO,,Real Estate / Property Management,"Denver, CO",800,$50M-$100M,Tenant engagement AI,$10K-$20K,,1000_database
45,95,Casper,www.casper.com,info@casper.com,contact@casper.com,(200) 031-0135,,CTO,,eCommerce / DTC Brands,"New York, NY",400,$500M-$1B,Customer service AI,$15K-$25K,https://www.linkedin.com/company/casper/,1000_database
46,95,Rothys,www.rothys.com,info@rothys.com,contact@rothys.com,(442) 134-0952,,CTO,,eCommerce / DTC Brands,"San Francisco, CA",500,$100M-$200M,Personalization AI,$10K-$25K,https://www.linkedin.com/company/rothy,1000_database
47,95,BarkBox,www.barkbox.com,info@barkbox.com,contact@barkbox.com,(762) 132-3625,,VP of Engineering,,eCommerce / DTC Brands,"New York, NY",500,$200M-$500M,Customer engagement AI,$10K-$25K,https://www.linkedin.com/company/bark-thedogcompany,1000_database
48,95,Atlas Insurance Brokers,www.aibme.com,info@aibme.com,contact@aibme.com,(177) 240-3541,,Director of Technology,,Insurance Agencies,"Overland Park, KS",300,$50M-$100M,Lead scoring AI,$8K-$15K,,1000_database
49,95,WebFX,www.webfx.com,info@webfx.com,contact@webfx.com,(174) 531-8430,,Chief Technology Officer,,Marketing / Digital Agencies,"Harrisburg, PA",500,$100M-$200M,Content generation AI,$15K-$30K,https://www.linkedin.com/company/webfxinc,1000_database
50,95,NP Digital,www.npdigital.com,sales@npdigital.com,neil@advanced.npdigital.com,(177) 203-2290,,CTO,,Marketing / Digital Agencies,"San Diego, CA",500,$50M-$100M,Content generation AI,$10K-$25K,https://www.linkedin.com/company/npdigital/,1000_database
51,95,VaynerMedia,www.vaynermedia.com,info@vaynermedia.com,contact@vaynermedia.com,(666) 666-6667,,Chief Technology Officer,,Marketing / Digital Agencies,"New York, NY",1000,$200M-$500M,Social content AI,$15K-$30K,https://www.linkedin.com/company/vaynermedia,1000_database
52,95,Tinuiti,www.tinuiti.com,info@tinuiti.com,contact@tinuiti.com,(738) 933-4031,,CTO,,Marketing / Digital Agencies,"New York, NY",1000,$200M-$500M,Attribution AI,$15K-$30K,https://www.linkedin.com/company/tinuiti,1000_database
53,95,Power Digital Marketing,www.powerdigitalmarketing.com,info@powerdigitalmarketing.com,contact@powerdigitalmarketing.com,(174) 890-2486,,Chief Technology Officer,,Marketing / Digital Agencies,"San Diego, CA",700,$100M-$200M,Reporting automation AI,$10K-$25K,https://www.linkedin.com/company/powerdigitalmarketing/,1000_database
54,95,Barkley,www.barkleyus.com,jason@barkleyokrp.com,press@barkleyokrp.com; careers@barkleyokrp.com,(816) 813-3892,,Director of Innovation,,Marketing / Digital Agencies,"Kansas City, MO",300,$50M-$100M,Content generation AI,$8K-$20K,https://www.linkedin.com/company/barkleyokrp/,1000_database
55,95,Insteel Industries,www.insteel.com,info@insteel.com,contact@insteel.com,(241) 717-6891,,VP of Technology,,Manufacturing (SMB),"Mount Airy, NC",1000,$500M-$1B,Predictive maintenance AI,$10K-$20K,,1000_database
56,95,FreightPOP,www.freightpop.com,support@freightpop.com,,(725) 637-7409,,Director of Product,,Logistics / Freight / 3PL,"Manhattan Beach, CA",100,$10M-$25M,Shipping optimization AI,$5K-$15K,https://www.linkedin.com/company/freightpop/,1000_database
57,95,Freebirds World Burrito,www.freebirds.com,info@freebirds.com,contact@freebirds.com,(333) 333-3333,,VP of Operations,,Restaurants / Food Service Chains,"Austin, TX",1000,$25M-$50M,Customer engagement AI,$5K-$12K,https://www.linkedin.com/company/freeb-rds-world-burrito,1000_database
58,95,Clean Juice,www.cleanjuice.com,info@cleanjuice.com,contact@cleanjuice.com,(012) 345-6789,,Director of Operations,,Restaurants / Food Service Chains,"Charlotte, NC",800,$10M-$25M,Inventory AI,$5K-$10K,https://www.linkedin.com/company/clean-juice/,1000_database
59,95,Notion,www.notion.so,info@notion.so,contact@notion.so,(123) 278-0281,,CTO,,SaaS / Software Companies,"San Francisco, CA",500,$200M-$500M,Customer onboarding AI,$10K-$25K,https://www.linkedin.com/company/notionhq/,1000_database
60,95,ClickUp,www.clickup.com,info@clickup.com,contact@clickup.com,(153) 509-8836,,VP of Engineering,,SaaS / Software Companies,"San Diego, CA",1000,$200M-$500M,Support automation AI,$10K-$25K,https://www.linkedin.com/company/12949663,1000_database
61,95,Amplitude,www.amplitude.com,sales@amplitude.com,,(650) 988-5131,,CTO,,SaaS / Software Companies,"San Francisco, CA",700,$200M-$500M,Churn prediction AI,$10K-$25K,https://www.linkedin.com/company/amplitude-analytics,1000_database
62,95,Calendly,www.calendly.com,info@calendly.com,contact@calendly.com,(329) 596-6333,,Chief Technology Officer,,SaaS / Software Companies,"Atlanta, GA",700,$200M-$500M,Customer onboarding AI,$10K-$20K,https://www.linkedin.com/company/calendly/,1000_database
63,95,Airtable,www.airtable.com,info@airtable.com,contact@airtable.com,(457) 397-3145,,CTO,,SaaS / Software Companies,"San Francisco, CA",900,$200M-$500M,Workflow AI,$10K-$20K,https://www.linkedin.com/company/airtable,1000_database
64,95,Webflow,www.webflow.com,info@webflow.com,contact@webflow.com,(491) 580-6179,,CTO,,SaaS / Software Companies,"San Francisco, CA",800,$100M-$200M,Customer onboarding AI,$8K-$20K,https://www.linkedin.com/company/webflow-inc-,1000_database
65,95,Vercel,www.vercel.com,info@vercel.com,contact@vercel.com,(966) 415-4901,,Chief Technology Officer,,SaaS / Software Companies,"San Francisco, CA",500,$100M-$200M,Support automation AI,$8K-$20K,https://linkedin.com/company/vercel,1000_database
66,95,Retool,www.retool.com,support@retool.com,,(154) 672-0521,,Chief Technology Officer,,SaaS / Software Companies,"San Francisco, CA",400,$100M-$200M,Workflow automation AI,$8K-$20K,https://www.linkedin.com/company/tryretool/,1000_database
67,95,Postman,www.postman.com,info@postman.com,info-jp@postman.com; u003einfo@postman.com; u003einfo-jp@postman.com,(967) 668-9144,,CTO,,SaaS / Software Companies,"San Francisco, CA",900,$200M-$500M,API testing AI,$10K-$20K,https://www.linkedin.com/company/postman-platform,1000_database
68,95,Intercom,www.intercom.com,press@intercom.com,u003eexample@yourdomain.com,(147) 673-1162,,Chief Technology Officer,,SaaS / Software Companies,"San Francisco, CA",700,$200M-$500M,Chatbot AI,$10K-$25K,https://www.linkedin.com/company/intercom/,1000_database
69,95,Clari,www.clari.com,sales@clari.com,hello@clari.com,(143) 918-7164,,Chief Technology Officer,,SaaS / Software Companies,"Sunnyvale, CA",700,$100M-$200M,Revenue prediction AI,$10K-$25K,https://www.linkedin.com/company/clari,1000_database
70,95,Drift (Salesloft),www.salesloft.com,info@salesloft.com,contact@salesloft.com,(437) 085-6825,,CTO,,SaaS / Software Companies,"Boston, MA",500,$100M-$200M,Chatbot AI,$8K-$20K,https://www.linkedin.com/company/salesloft,1000_database
71,95,Outreach,www.outreach.io,hr@outreach.io,pr@outreach.io; security@outreach.io; u003ehr@outreach.io,(333) 433-1220,,Chief Technology Officer,,SaaS / Software Companies,"Seattle, WA",1000,$200M-$500M,Sales automation AI,$10K-$25K,https://www.linkedin.com/company/outreach-saas/,1000_database
72,95,Terminus,www.terminus.com,info@terminus.com,contact@terminus.com,(177) 220-0843,,CTO,,SaaS / Software Companies,"Atlanta, GA",300,$25M-$50M,Customer engagement AI,$5K-$15K,https://www.linkedin.com/company/demandscience-com,1000_database
73,95,Drata,www.drata.com,getstarted@drata.com,media@drata.com; support@drata.com; partnerships@drata.com,(749) 743-1755,,Chief Technology Officer,,SaaS / Software Companies,"San Diego, CA",500,$100M-$200M,Compliance automation AI,$10K-$20K,https://www.linkedin.com/company/drata/,1000_database
74,95,DreamBox Learning,www.dreambox.com,info@dreambox.com,contact@dreambox.com,(177) 202-8539,,Chief Technology Officer,,Education / EdTech,"Bellevue, WA",300,$50M-$100M,Adaptive learning AI,$8K-$15K,https://www.linkedin.com/company/discoveryed,1000_database
75,95,Newsela,www.newsela.com,support@newsela.com,,(664) 399-8773,,CTO,,Education / EdTech,"New York, NY",500,$50M-$100M,Content personalization AI,$8K-$20K,https://www.linkedin.com/company/newsela,1000_database
76,95,MasterClass,www.masterclass.com,info@masterclass.com,contact@masterclass.com,(438) 642-7697,,Chief Technology Officer,,Education / EdTech,"San Francisco, CA",500,$200M-$500M,Content recommendation AI,$10K-$20K,http://www.linkedin.com/company/masterclassinc,1000_database
77,95,Kahoot!,www.kahoot.com,info@kahoot.com,contact@kahoot.com,(177) 011-7158,,Chief Technology Officer,,Education / EdTech,"Austin, TX",500,$100M-$200M,Student engagement AI,$8K-$15K,https://www.linkedin.com/company/kahoot/,1000_database
78,95,Litmos (SAP),www.litmos.com,sales@litmos.com,,(174) 914-1130,,VP of Product,,Education / EdTech,"San Carlos, CA",300,$50M-$100M,Learning analytics AI,$8K-$15K,https://www.linkedin.com/company/litmos,1000_database
79,95,Handshake,www.joinhandshake.com,info@joinhandshake.com,contact@joinhandshake.com,(002) 570-4891,,Chief Technology Officer,,Education / EdTech,"San Francisco, CA",800,$100M-$200M,Job matching AI,$8K-$20K,https://www.linkedin.com/company/team-handshake,1000_database
80,95,Degreed,www.degreed.com,info@degreed.com,contact@degreed.com,(177) 098-2446,,CTO,,Education / EdTech,"Pleasanton, CA",500,$50M-$100M,Skill assessment AI,$8K-$15K,https://www.linkedin.com/company/degreed/,1000_database
81,95,GoGuardian,www.goguardian.com,info@goguardian.com,contact@goguardian.com,(609) 009-9279,,Chief Technology Officer,,Education / EdTech,"Los Angeles, CA",500,$100M-$200M,Student safety AI,$8K-$20K,https://www.linkedin.com/company/goguardian,1000_database
82,95,Nearpod (Renaissance),www.nearpod.com,info@nearpod.com,contact@nearpod.com,(771) 536-3541,,VP of Product,,Education / EdTech,"Fort Lauderdale, FL",300,$50M-$100M,Student engagement AI,$5K-$15K,https://www.linkedin.com/company/renaissance-learning/,1000_database
83,95,BetterUp,www.betterup.com,info@betterup.com,contact@betterup.com,(743) 083-3206,,CTO,,Education / EdTech,"San Francisco, CA",1000,$200M-$500M,Coaching match AI,$10K-$25K,https://www.linkedin.com/company/betterup/,1000_database
84,95,Articulate,www.articulate.com,sales@articulate.com,,(720) 013-4901,,Chief Technology Officer,,Education / EdTech,"New York, NY",500,$200M-$500M,Content generation AI,$10K-$20K,https://www.linkedin.com/company/articulate,1000_database
85,95,Docebo,www.docebo.com,info@docebo.com,contact@docebo.com,(624) 256-7044,,CTO,,Education / EdTech,"Athens, GA",900,$200M-$500M,Learning path AI,$10K-$20K,https://www.linkedin.com/company/docebo/,1000_database
86,95,Homrich Berg,www.homrichberg.com,info@homrichberg.com,contact@homrichberg.com,(404) 264-1400,,VP of Technology,,Financial Advisory / Wealth Management,"Atlanta, GA",200,$50M-$100M,Portfolio reporting AI,$8K-$20K,https://www.linkedin.com/company/hbwealth/,1000_database
87,95,Buckingham Strategic Wealth,www.buckinghamstrategicwealth.com,info@buckinghamstrategicwealth.com,contact@buckinghamstrategicwealth.com,(173) 636-3829,,CTO,,Financial Advisory / Wealth Management,"St. Louis, MO",200,$50M-$100M,Compliance AI,$8K-$15K,https://www.linkedin.com/company/buckinghamsw/,1000_database
88,95,Wealthfront,www.wealthfront.com,info@wealthfront.com,contact@wealthfront.com,(335) 979-0771,,CTO,,Financial Advisory / Wealth Management,"Palo Alto, CA",500,$100M-$200M,Portfolio optimization AI,$10K-$20K,,1000_database
89,95,Sanctuary Wealth,www.sanctuarywealth.com,info@sanctuarywealth.com,contact@sanctuarywealth.com,(176) 606-7905,,Director of Technology,,Financial Advisory / Wealth Management,"Indianapolis, IN",200,$25M-$50M,Client communication AI,$5K-$15K,https://www.linkedin.com/company/concenturewealth/,1000_database
90,95,Cresset Capital,www.cressetcapital.com,info@cressetcapital.com,contact@cressetcapital.com,(177) 203-4984,,Chief Technology Officer,,Financial Advisory / Wealth Management,"Chicago, IL",200,$50M-$100M,Portfolio reporting AI,$8K-$20K,https://www.linkedin.com/company/cresset-capital,1000_database
91,95,Perigon Wealth,www.perigonwealth.com,info@perigonwealth.com,contact@perigonwealth.com,(199) 999-9999,,VP of Technology,,Financial Advisory / Wealth Management,"San Francisco, CA",100,$25M-$50M,Compliance AI,$5K-$15K,https://www.linkedin.com/company/perigonwealth/,1000_database
92,95,Sequoia Financial Group,www.sequoia-financial.com,info@sequoia-financial.com,,(169) 775-4550,,CTO,,Financial Advisory / Wealth Management,"Akron, OH",300,$50M-$100M,Compliance AI,$8K-$15K,,1000_database
93,95,SignatureFD,www.signaturefd.com,crystal.mathis@signaturefd.com,,(177) 240-3445,,VP of Technology,,Financial Advisory / Wealth Management,"Atlanta, GA",100,$25M-$50M,Client engagement AI,$5K-$15K,https://www.linkedin.com/company/signaturefd/,1000_database
94,95,Aspiriant,www.aspiriant.com,manager.research@aspiriant.com,info@aspiriant.com,(177) 197-1290,,Chief Technology Officer,,Financial Advisory / Wealth Management,"Los Angeles, CA",200,$50M-$100M,Portfolio analytics AI,$8K-$20K,https://www.linkedin.com/company/aspiriant/,1000_database
95,95,Telemus Capital,www.telemus.com,info@telemus.com,contact@telemus.com,(175) 770-0700,,Director of IT,,Financial Advisory / Wealth Management,"Southfield, MI",80,$25M-$50M,Client communication AI,$5K-$12K,https://www.linkedin.com/company/buckinghamsw/,1000_database
96,95,Gresham Partners,www.greshampartners.com,info@greshampartners.com,,(177) 212-3229,,Director of Technology,,Financial Advisory / Wealth Management,"Chicago, IL",80,$25M-$50M,Compliance AI,$5K-$15K,https://www.linkedin.com/company/gresham-partners-llc/,1000_database
97,95,Doximity,www.doximity.com,bd@doximity.com,pr@doximity.com,(177) 067-6172,,CTO,,Telehealth / Digital Health,"San Francisco, CA",900,$200M-$500M,Scheduling AI,$15K-$30K,https://www.linkedin.com/company/doximity,1000_database
98,95,SteadyMD,www.steadymd.com,you@email.com,,(177) 196-8827,,Chief Technology Officer,,Telehealth / Digital Health,"St. Louis, MO",500,$50M-$100M,Clinical workflow AI,$10K-$20K,https://www.linkedin.com/company/steadymd/,1000_database
99,95,Maven Clinic,www.mavenclinic.com,support@mavenclinic.com,,(758) 545-3123,,CTO,,Telehealth / Digital Health,"New York, NY",500,$100M-$200M,Patient engagement AI,$10K-$25K,https://www.linkedin.com/company/mavenclinic/,1000_database
100,95,Nurx,www.nurx.com,info@nurx.com,contact@nurx.com,(195) 119-6028,,CTO,,Telehealth / Digital Health,"San Francisco, CA",300,$50M-$100M,Prescription AI,$5K-$15K,https://www.linkedin.com/company/nurx,1000_database
